Unnamed: 0,지역별(1),지역별(2),2015.2/2,2015.2/2.1,2016.2/2,2016.2/2.1,2017.2/2,2017.2/2.1,2018.2/2,2018.2/2.1,2019.2/2,2019.2/2.1,2020.2/2,2020.2/2.1,2021.1/2,2021.1/2.1
0,지역별(1),지역별(2),공장수 (개사),면적 (㎡),공장수 (개사),면적 (㎡),공장수 (개사),면적 (㎡),공장수 (개사),면적 (㎡),공장수 (개사),면적 (㎡),공장수 (개사),면적 (㎡),공장수 (개사),면적 (㎡)
1,합계,소계,58672,138880478,58939,140502452,59593,139756652,60022,137849494,61151,141598932,60675,141527515,61218,142048487
2,서울특별시,소계,8063,2804313,8205,2819258,8253,2734546,8166,2592447,8109,2710988,8131,2804245,8026,2867387
3,서울특별시,종로구,130,18459,144,20148,149,20708,145,19790,162,21555,170,23570,174,24066
4,서울특별시,중구,1196,123131,1198,124786,1197,125235,1177,83305,1185,129054,1181,130233,1173,134485
5,서울특별시,용산구,99,17391,104,17466,94,15447,82,14463,78,13333,75,12729,69,12552
6,서울특별시,성동구,1329,784764,1370,798724,1368,776097,1373,751489,1362,802816,1389,942574,1398,1008605
7,서울특별시,광진구,167,17963,166,18055,173,19501,170,19534,173,19793,141,16385,145,16987
8,서울특별시,동대문구,248,35816,256,39477,254,42178,259,46877,265,54699,267,56440,200,47698
9,서울특별시,중랑구,315,42362,337,40589,335,39106,332,37370,344,37186,354,37199,367,36862
10,서울특별시,성북구,158,26137,161,26744,161,27089,160,28184,117,21966,105,18602,91,17003
11,서울특별시,강북구,105,17341,109,21092,113,21450,101,17775,90,16280,96,16512,95,16330
12,서울특별시,도봉구,149,50504,156,50931,155,50513,152,48989,155,54390,158,56385,127,38725
13,서울특별시,노원구,107,30581,117,31199,106,27019,106,25934,103,24529,109,24107,118,26268
14,서울특별시,은평구,90,16924,90,18609,92,19223,93,19513,95,20041,95,25892,77,22810
15,서울특별시,서대문구,87,46218,85,46351,79,46002,49,7134,45,40033,53,40733,57,42514
16,서울특별시,마포구,171,39045,128,35093,115,32951,103,28087,101,31015,97,29623,95,29274
17,서울특별시,양천구,134,27696,136,27698,133,23474,132,25138,109,24826,111,26855,116,27153
18,서울특별시,강서구,639,497037,647,499769,639,491052,635,492198,640,490127,643,490964,642,491082
19,서울특별시,구로구,307,177225,324,181179,335,140326,338,139591,287,127787,295,95495,300,120645
20,서울특별시,금천구,810,492497,844,494315,863,491878,866,463946,865,440461,872,430047,865,423101
21,서울특별시,영등포구,760,146611,779,144618,809,130945,817,136559,846,149842,862,145763,861,147767
22,서울특별시,동작구,78,27313,47,11519,47,11784,39,10469,40,10568,41,10637,41,10637
23,서울특별시,관악구,97,10138,85,8116,84,8224,69,7311,66,5430,62,5136,61,5604
24,서울특별시,서초구,193,17465,197,18527,199,21105,203,20935,199,20013,207,21352,207,21424
25,서울특별시,강남구,217,37467,219,37554,226,38324,219,37289,224,36955,234,41467,232,40883
26,서울특별시,송파구,337,69851,361,71542,386,81200,408,81311,429,90378,428,85534,432,85848
27,서울특별시,강동구,140,34376,145,35157,141,33715,138,29257,129,27910,86,20011,83,19065
28,부산광역시,소계,7312,12397960,7463,12495663,7238,12295672,6827,11518183,6692,11451258,6647,11405290,6679,11378747
