,소재지(시군구)별,녹지별,항목,단위,2005 년,2006 년,2007 년,2008 년,2009 년,2010 년,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,Unnamed: 20
0,전국,계,시설수[개],개,6609.0,7704.0,33375.0,11095.0,13665.0,16002.0,17541.0,17844.0,18211.0,18871.0,20387.0,20748.0,21172.0,22070.0,22585.0,22452.0,
1,전국,계,면적[㎡],㎡,112253832.0,118990910.0,125808653.0,137211727.0,152979267.0,170556517.0,181873542.0,184555378.0,190924626.0,193698697.0,225286140.0,224053325.0,236515252.0,221763854.0,223209482.0,204194439.0,
8,서울특별시,계,시설수[개],개,495.0,497.0,24776.0,744.0,838.0,970.0,953.0,1006.0,1009.0,1009.0,1028.0,1039.0,1040.0,1023.0,1017.0,992.0,
9,서울특별시,계,면적[㎡],㎡,6899988.0,7204447.0,5058327.0,4902394.0,5083441.0,5991231.0,5413148.0,5509077.0,5522274.0,5264095.0,4981877.0,5013617.0,5041145.0,5034732.0,5028167.0,4791053.0,
16,종로구,계,시설수[개],개,15.0,14.0,21.0,23.0,25.0,35.0,36.0,36.0,36.0,32.0,32.0,32.0,32.0,32.0,32.0,30.0,
17,종로구,계,면적[㎡],㎡,45000.0,44443.0,54000.0,87790.0,91239.0,104677.0,104981.0,104981.0,104981.0,76901.0,76901.0,76901.0,76901.0,76901.0,76901.0,64145.0,
24,중구,계,시설수[개],개,25.0,25.0,29.0,28.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,25.0,
25,중구,계,면적[㎡],㎡,46060.0,46060.0,52000.0,54290.0,47885.0,47885.0,47885.0,47885.0,47885.0,47885.0,47885.0,47885.0,47885.0,47885.0,47885.0,32251.0,
32,용산구,계,시설수[개],개,8.0,8.0,20.0,20.0,26.0,26.0,28.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,26.0,
33,용산구,계,면적[㎡],㎡,33872.0,33872.0,47359.0,47376.0,80101.0,80070.0,82242.0,81454.0,81454.0,81454.0,84721.0,84721.0,84721.0,78174.0,76452.0,74456.0,
40,성동구,계,시설수[개],개,16.0,16.0,23.0,27.0,26.0,27.0,23.0,23.0,23.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,
41,성동구,계,면적[㎡],㎡,256000.0,256000.0,274000.0,291604.0,277509.0,284325.0,283650.0,283650.0,283653.0,35588.0,35588.0,35588.0,35588.0,35588.0,35588.0,35588.0,
48,광진구,계,시설수[개],개,8.0,8.0,8.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,
49,광진구,계,면적[㎡],㎡,343000.0,343000.0,330000.0,19045.0,19045.0,20865.0,20865.0,20865.0,20865.0,20865.0,20865.0,20865.0,20865.0,20865.0,18807.0,18807.0,
56,동대문구,계,시설수[개],개,6.0,11.0,24013.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,34.0,
57,동대문구,계,면적[㎡],㎡,9485.0,17386.0,35000.0,69126.0,70547.0,70564.0,70581.0,70581.0,70581.0,72802.0,72802.0,72802.0,72802.0,72802.0,72802.0,53843.0,
64,중랑구,계,시설수[개],개,23.0,23.0,25.0,28.0,42.0,41.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,
65,중랑구,계,면적[㎡],㎡,66328.0,66328.0,70145.0,120397.0,166723.0,173751.0,187308.0,187309.0,187309.0,187309.0,187309.0,187309.0,187309.0,187309.0,187309.0,187309.0,
72,성북구,계,시설수[개],개,21.0,21.0,35.0,15.0,17.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,12.0,
73,성북구,계,면적[㎡],㎡,183000.0,183000.0,66000.0,73676.0,75999.0,73865.0,73865.0,73865.0,73865.0,73865.0,73865.0,73865.0,73865.0,73865.0,73865.0,22879.0,
80,강북구,계,시설수[개],개,5.0,5.0,8.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,
81,강북구,계,면적[㎡],㎡,23000.0,20934.0,23884.0,24200.0,24200.0,23904.0,23904.0,23904.0,23904.0,23904.0,23904.0,23904.0,23904.0,23904.0,20496.0,20496.0,
88,도봉구,계,시설수[개],개,9.0,9.0,9.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,
89,도봉구,계,면적[㎡],㎡,27755.0,27755.0,28122.0,29280.0,29280.0,29280.0,29280.0,29280.0,29280.0,29280.0,29280.0,29280.0,29280.0,29280.0,29280.0,29280.0,
96,노원구,계,시설수[개],개,56.0,56.0,72.0,54.0,74.0,73.0,73.0,73.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,78.0,
97,노원구,계,면적[㎡],㎡,2176046.0,2227704.0,304000.0,270458.0,307116.0,306004.0,306004.0,306004.0,309197.0,309194.0,313489.0,316464.0,316464.0,318643.0,318643.0,380007.0,
104,은평구,계,시설수[개],개,16.0,16.0,21.0,40.0,40.0,40.0,40.0,40.0,42.0,43.0,43.0,40.0,40.0,38.0,38.0,38.0,
105,은평구,계,면적[㎡],㎡,63161.0,63161.0,63000.0,99711.0,99711.0,99711.0,99711.0,99711.0,113402.0,115644.0,115644.0,105854.0,105854.0,106724.0,106724.0,106724.0,
112,서대문구,계,시설수[개],개,27.0,27.0,27.0,58.0,58.0,60.0,65.0,68.0,67.0,65.0,65.0,65.0,65.0,65.0,65.0,57.0,
113,서대문구,계,면적[㎡],㎡,377000.0,377000.0,420000.0,466632.0,466632.0,474260.0,478642.0,484351.0,479864.0,475841.0,475841.0,475841.0,475841.0,475841.0,475841.0,442285.0,
120,마포구,계,시설수[개],개,65.0,65.0,86.0,74.0,75.0,75.0,78.0,81.0,81.0,81.0,80.0,80.0,80.0,80.0,80.0,74.0,
121,마포구,계,면적[㎡],㎡,479000.0,479000.0,517000.0,671888.0,672644.0,672644.0,677951.0,679691.0,679691.0,679691.0,319655.0,319655.0,319655.0,319655.0,320959.0,160777.0,
128,양천구,계,시설수[개],개,48.0,48.0,48.0,43.0,43.0,51.0,51.0,57.0,57.0,56.0,53.0,53.0,52.0,52.0,52.0,52.0,
129,양천구,계,면적[㎡],㎡,776000.0,776000.0,225000.0,212606.0,212606.0,227567.0,227567.0,237492.0,237492.0,236356.0,242674.0,242674.0,238469.0,238469.0,238469.0,238469.0,
136,강서구,계,시설수[개],개,34.0,34.0,106.0,93.0,93.0,92.0,94.0,121.0,123.0,125.0,125.0,125.0,125.0,125.0,125.0,123.0,
137,강서구,계,면적[㎡],㎡,164000.0,164000.0,421000.0,343613.0,343613.0,340352.0,299794.0,292746.0,294615.0,292926.0,292926.0,292926.0,293799.0,293799.0,293799.0,293516.0,
144,구로구,계,시설수[개],개,8.0,8.0,16.0,17.0,17.0,33.0,33.0,35.0,35.0,37.0,37.0,37.0,34.0,34.0,34.0,35.0,
145,구로구,계,면적[㎡],㎡,95000.0,95000.0,61037.0,108867.0,108867.0,153692.0,153692.0,163557.0,163557.0,160627.0,160627.0,160627.0,155003.0,154703.0,154703.0,150588.0,
152,금천구,계,시설수[개],개,5.0,5.0,7.0,5.0,5.0,6.0,7.0,7.0,7.0,8.0,8.0,8.0,6.0,6.0,6.0,6.0,
153,금천구,계,면적[㎡],㎡,42000.0,42000.0,51000.0,42209.0,42209.0,43809.0,32937.0,32937.0,32937.0,34851.0,34851.0,34681.0,32341.0,32341.0,32341.0,32341.0,
160,영등포구,계,시설수[개],개,5.0,5.0,47.0,6.0,47.0,46.0,46.0,46.0,46.0,49.0,41.0,41.0,41.0,23.0,23.0,23.0,
161,영등포구,계,면적[㎡],㎡,25677.0,25677.0,82068.0,21855.0,68027.0,64188.0,63389.0,63389.0,63389.0,65399.0,60377.0,60380.0,60380.0,42905.0,42905.0,42905.0,
168,동작구,계,시설수[개],개,12.0,12.0,15.0,10.0,12.0,12.0,12.0,12.0,12.0,19.0,19.0,19.0,20.0,21.0,20.0,20.0,
169,동작구,계,면적[㎡],㎡,89429.0,89429.0,95693.0,20109.0,24191.0,24191.0,24191.0,24191.0,24191.0,37589.0,37589.0,37589.0,37751.0,38051.0,37370.0,37370.0,
176,관악구,계,시설수[개],개,9.0,7.0,17.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,
177,관악구,계,면적[㎡],㎡,63000.0,2698.0,63000.0,65653.0,65653.0,65653.0,65653.0,65653.0,65653.0,65653.0,65653.0,65653.0,65653.0,65653.0,65653.0,65651.0,
184,서초구,계,시설수[개],개,13.0,13.0,19.0,19.0,23.0,23.0,23.0,23.0,23.0,23.0,66.0,66.0,66.0,67.0,67.0,67.0,
185,서초구,계,면적[㎡],㎡,679000.0,679000.0,767000.0,766562.0,768733.0,768733.0,768733.0,768733.0,768733.0,768733.0,922978.0,922978.0,916036.0,928883.0,928883.0,928874.0,
192,강남구,계,시설수[개],개,33.0,33.0,33.0,25.0,25.0,119.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,63.0,63.0,63.0,
193,강남구,계,면적[㎡],㎡,649019.0,649019.0,649019.0,634766.0,634766.0,1440374.0,797721.0,797721.0,797721.0,797721.0,797721.0,797721.0,797721.0,799434.0,799434.0,799434.0,
200,송파구,계,시설수[개],개,23.0,23.0,43.0,43.0,43.0,43.0,65.0,71.0,70.0,70.0,61.0,75.0,81.0,81.0,81.0,81.0,
201,송파구,계,면적[㎡],㎡,154156.0,154156.0,273000.0,274667.0,274667.0,274667.0,366402.0,381453.0,380381.0,386343.0,331532.0,370254.0,415858.0,415858.0,415858.0,415858.0,
208,강동구,계,시설수[개],개,5.0,5.0,28.0,28.0,32.0,37.0,37.0,44.0,44.0,44.0,41.0,41.0,41.0,41.0,41.0,41.0,
209,강동구,계,면적[㎡],㎡,34000.0,341825.0,86000.0,86014.0,111478.0,126200.0,126200.0,187674.0,187674.0,187674.0,157200.0,157200.0,157200.0,157200.0,157200.0,157200.0,
216,부산광역시,계,시설수[개],개,215.0,304.0,366.0,543.0,622.0,669.0,683.0,683.0,693.0,708.0,881.0,943.0,960.0,958.0,980.0,958.0,
217,부산광역시,계,면적[㎡],㎡,6469571.0,6947327.0,6827743.0,8841509.0,9250388.0,9403995.0,9548408.0,9548408.0,9577086.0,9603482.0,11517117.0,10336182.0,10162362.0,9903671.0,9436838.0,6981200.0,
224,부산광역시,계,시설수[개],개,,,,,622.0,669.0,679.0,679.0,677.0,687.0,765.0,943.0,958.0,958.0,980.0,958.0,
225,부산광역시,계,면적[㎡],㎡,,,,,9250388.0,9403995.0,9518272.0,9518272.0,9524992.0,9523329.0,10182872.0,10336182.0,9928705.0,9903671.0,9436838.0,6981200.0,
232,서구,계,시설수[개],개,1.0,1.0,1.0,10.0,,,,,,,,,,,,,
233,서구,계,면적[㎡],㎡,211193.0,211193.0,211193.0,225145.0,,,,,,,,,,,,,
240,동구,계,시설수[개],개,1.0,2.0,2.0,6.0,,,,,,,,,,,,,
241,동구,계,면적[㎡],㎡,492260.0,499617.0,499204.0,506119.0,,,,,,,,,,,,,
248,영도구,계,시설수[개],개,15.0,15.0,18.0,18.0,,,,,,,,,2.0,,,,
249,영도구,계,면적[㎡],㎡,400544.0,393575.0,396719.0,396719.0,,,,,,,,,233657.0,,,,
256,부산진구,계,시설수[개],개,9.0,11.0,16.0,21.0,,,,,,,,,,,,,
257,부산진구,계,면적[㎡],㎡,697450.0,718520.0,732948.0,746959.0,,,,,,,,,,,,,
264,동래구,계,시설수[개],개,3.0,3.0,4.0,13.0,,,,,,,,,,,,,
265,동래구,계,면적[㎡],㎡,56623.0,56693.0,57267.0,67196.0,,,,,,,,,,,,,
272,남구,계,시설수[개],개,5.0,13.0,21.0,32.0,,,,,,,,,,,,,
273,남구,계,면적[㎡],㎡,122301.0,136681.0,151262.0,177984.0,,,,,,,,,,,,,
280,북구,계,시설수[개],개,31.0,31.0,31.0,34.0,,,,,,,,,,,,,
281,북구,계,면적[㎡],㎡,788410.0,788203.0,788310.0,760845.0,,,,,,,,,,,,,
288,해운대구,계,시설수[개],개,49.0,52.0,51.0,51.0,,,,,10.0,10.0,63.0,,,,,,
289,해운대구,계,면적[㎡],㎡,948883.0,959508.0,479374.0,479737.0,,,,,21434.0,21434.0,437148.0,,,,,,
296,사하구,계,시설수[개],개,22.0,22.0,22.0,23.0,,,,,,,26.0,,,,,,
297,사하구,계,면적[㎡],㎡,565428.0,565531.0,566060.0,573511.0,,,,,,,428736.0,,,,,,
