,소재지(시군구)별,도시및비도시지역별,항목,단위,2005 년,2006 년,2007 년,2008 년,2009 년,2010 년,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,Unnamed: 20
0,전국,합계,면적[㎡],㎡,99646159846.0,99678121366.0,99720391791.0,99828624206.0,99897411077.0,100033075856.0,100148218044.0,100188083308.0,100266244858.0,100283944852.0,100295350647.0,100339486207.0,100363714871.0,100377668344.0,100401285021.0,100412599274.0,
5,서울특별시,합계,면적[㎡],㎡,605396797.0,605326261.0,605252505.0,605267801.0,605253720.0,605251485.0,605207639.0,605177233.0,605204140.0,605209937.0,605250733.0,605196265.0,605242800.0,605238970.0,605237005.0,605228563.0,
10,종로구,합계,면적[㎡],㎡,23909013.0,23909484.0,23909206.0,23907843.0,23907600.0,23907423.0,23907066.0,23907125.0,23907208.0,23912968.0,23912894.0,23912883.0,23912788.0,23913318.0,23913280.0,23913172.0,
15,중구,합계,면적[㎡],㎡,9961022.0,9960989.0,9960427.0,9960389.0,9960123.0,9959933.0,9960980.0,9961047.0,9960055.0,9960182.0,9960549.0,9960930.0,9959791.0,9959837.0,9959983.0,9960308.0,
20,용산구,합계,면적[㎡],㎡,21866615.0,21866836.0,21867390.0,21867539.0,21867449.0,21867354.0,21867848.0,21868778.0,21868765.0,21868788.0,21866635.0,21866544.0,21866466.0,21866257.0,21866384.0,21866145.0,
25,성동구,합계,면적[㎡],㎡,16846911.0,16847733.0,16848048.0,16848955.0,16848502.0,16848684.0,16849230.0,16847657.0,16853805.0,16856990.0,16860497.0,16860100.0,16856985.0,16859546.0,16859343.0,16861004.0,
30,광진구,합계,면적[㎡],㎡,17059014.0,17051607.0,17053225.0,17061175.0,17062040.0,17062040.0,17063205.0,17063533.0,17062331.0,17062631.0,17063352.0,17063230.0,17063241.0,17063238.0,17062949.0,17062940.0,
35,동대문구,합계,면적[㎡],㎡,14215654.0,14213926.0,14201638.0,14201032.0,14200677.0,14200631.0,14202512.0,14201937.0,14210790.0,14210891.0,14213440.0,14215197.0,14215008.0,14215222.0,14215360.0,14215624.0,
40,중랑구,합계,면적[㎡],㎡,18502296.0,18499950.0,18499467.0,18498826.0,18495947.0,18497619.0,18497283.0,18496973.0,18497205.0,18495635.0,18495844.0,18495756.0,18495350.0,18495575.0,18496071.0,18496083.0,
45,성북구,합계,면적[㎡],㎡,24563926.0,24566023.0,24566405.0,24566313.0,24565761.0,24564862.0,24566950.0,24571370.0,24578177.0,24577482.0,24578675.0,24578665.0,24573191.0,24573425.0,24574349.0,24576835.0,
