,행정구역별,자동차등록용도별,차종별,항목,단위,2020 년,2019 년,2018 년,2017 년,2016 년,2015 년,2014 년,2013 년,2012 년,Unnamed: 14
1,전국,전체,합계,연간 주행거리[천㎞],천㎞,332023788.6,329553922.5,327072635.9,319870540.7,311236233.7,298322891.0,290008712.0,277420070.0,279522620.0,
31,서울특별시,전체,합계,연간 주행거리[천㎞],천㎞,39254952.2,40114689.7,41297377.7,41643855.4,41823307.9,41464388.0,41620697.0,40884871.0,42811379.0,
61,종로구,전체,합계,연간 주행거리[천㎞],천㎞,584920.4,578443.4,620584.2,617249.8,612878.3,621110.0,636518.0,623780.0,641520.0,
91,중구,전체,합계,연간 주행거리[천㎞],천㎞,625188.8,690370.1,697498.4,666163.0,717276.5,690171.0,768928.0,725198.0,765118.0,
121,용산구,전체,합계,연간 주행거리[천㎞],천㎞,848284.1,833429.4,854237.5,841631.3,853230.6,840347.0,853299.0,839643.0,866309.0,
151,성동구,전체,합계,연간 주행거리[천㎞],천㎞,1460458.7,1454743.5,1466138.8,1388940.6,1368202.4,1298350.0,1280027.0,1233707.0,1276209.0,
181,광진구,전체,합계,연간 주행거리[천㎞],천㎞,1234231.4,1274866.8,1314605.9,1345294.5,1355278.4,1323282.0,1314116.0,1301254.0,1358819.0,
211,동대문구,전체,합계,연간 주행거리[천㎞],천㎞,1224003.1,1220638.7,1257187.4,1310907.9,1327893.4,1308092.0,1303741.0,1278264.0,1307306.0,
241,중랑구,전체,합계,연간 주행거리[천㎞],천㎞,1450641.0,1517720.0,1590689.9,1613619.2,1585150.9,1619907.0,1590072.0,1555783.0,1603065.0,
271,성북구,전체,합계,연간 주행거리[천㎞],천㎞,1417473.4,1454077.2,1478747.9,1528536.3,1531562.8,1538732.0,1560874.0,1541156.0,1604579.0,
301,강북구,전체,합계,연간 주행거리[천㎞],천㎞,1026470.2,1155322.7,1026975.9,1036416.0,1037191.6,1028488.0,1053599.0,1023829.0,1111813.0,
331,도봉구,전체,합계,연간 주행거리[천㎞],천㎞,1208668.4,1241415.8,1312738.4,1341527.4,1341110.0,1378854.0,1366028.0,1342521.0,1493537.0,
