,소재지(시군구)별(1),소재지(시군구)별(2),2008,2008.5,2009,2009.5,2010,2010.5,2011,2011.5,2012,2012.5,2013,2013.5,2014,2014.5,2015,2015.5,2016,2016.5,2017,2017.5,2018,2018.5,2019,2019.5,2020,2020.5
0,소재지(시군구)별(1),소재지(시군구)별(2),10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상
1,소재지(시군구)별(1),소재지(시군구)별(2),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b)
2,전국,소계,39445686,8774325,42566611,8786022,59195738,8954483,59408716,21362653,60924832,22677715,72943553,21251807,72353893,23273158,75296589,17252068,79589207,13835190,75060487,15422341,54219347,33922819,43802776,42609568,21960689,54571504
3,서울특별시,소계,126708,0,126708,0,0,126708,0,126708,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,서울특별시,강서구,126708,0,126708,0,0,126708,0,126708,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,부산광역시,소계,-,-,-,-,-,-,-,-,-,-,-,-,0,250381,0,250381,9934,309471,0,309471,-,309471,-,309471,-,238408
6,부산광역시,서구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9934,0,-,-,-,-,-,-,-,-
7,부산광역시,기장군,-,-,-,-,-,-,-,-,-,-,-,-,0,250381,0,250381,0,309471,0,309471,0,309471,0,309471,-,238408
8,대구광역시,소계,4800,0,4800,0,4800,0,4800,0,4675,0,4675,0,4675,0,-,-,-,-,-,-,-,-,-,-,-,-
9,대구광역시,달성군,4800,0,4800,0,4800,0,4800,0,4675,0,4675,0,4675,0,-,-,-,-,-,-,-,-,-,-,-,-
10,인천광역시,소계,6905501,0,6905501,0,7546692,0,2211191,5335501,257381,6905501,416609,0,159228,1691232,84452,1720189,84452,208357,84452,1318919,84452,186491,84452,186491,145152,186491
11,인천광역시,인천광역시,-,-,-,-,641191,0,641191,0,257381,0,257381,0,-,-,0,1691232,0,179400,0,1284580,0,152152,0,152152,0,152152
12,인천광역시,중구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,5382,0,5382,0,5382,0,5382
13,인천광역시,남동구,-,-,-,-,-,-,-,-,-,-,-,-,0,240242,-,-,-,-,-,-,-,-,-,-,-,-
14,인천광역시,계양구,-,-,-,-,-,-,-,-,-,-,-,-,0,169920,-,-,-,-,-,-,-,-,-,-,-,-
15,인천광역시,서구,6905501,0,6905501,0,6905501,0,1570000,5335501,0,6905501,159228,0,159228,751578,84452,28957,84452,28957,84452,28957,84452,28957,84452,28957,84452,28957
16,인천광역시,강화군,-,-,-,-,-,-,-,-,-,-,-,-,0,529492,-,-,-,-,-,-,-,-,-,-,60700,0
17,대전광역시,소계,-,-,-,-,-,-,766150,0,766150,0,766150,0,766150,98464,796150,239535,804070,239535,796150,239535,830024,239535,971095,98464,800024,269535
18,대전광역시,대전광역시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33874,0,33874,0,33874,0
19,대전광역시,동구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7920,0,-,-,-,-,-,-,-,-
20,대전광역시,서구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30000,141071,30000,141071,30000,141071,30000,141071,171071,0,0,171071
21,대전광역시,유성구,-,-,-,-,-,-,766150,0,766150,0,766150,0,766150,98464,766150,98464,766150,98464,766150,98464,766150,98464,766150,98464,766150,98464
22,울산광역시,소계,-,-,56809,0,43882,0,77753,0,60542,0,29496,0,29496,0,28935,0,12275,0,12275,0,12275,-,12275,-,1531,10744
23,울산광역시,북구,-,-,-,-,11305,0,11305,0,11305,0,12836,0,12836,0,12275,0,12275,0,12275,0,12275,0,12275,0,1531,10744
24,울산광역시,울주군,-,-,56809,0,32577,0,66448,0,49237,0,16660,0,16660,0,16660,0,-,-,-,-,-,-,-,-,-,-
25,세종특별자치시,소계,-,-,-,-,-,-,-,-,0,41138,0,41138,0,41138,0,41138,-,-,-,-,-,-,-,-,-,-
