시도별,2006.1/2,2007.1/2,2008.2/2,2009.1/2,2010.1/2,2011.1/2,2012.1/2,2013.1/2,2014.1/2,2015.1/2,2016.1/2,2017.1/2,2018.1/2,2019.1/2,2020.1/2,2021.1/2
시도별,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
시도별,공장수 (개사),공장수 (개사),공장수 (개사),공장수 (개사),공장수 (개사),공장수 (개사),공장수 (개사),공장수 (개사),공장수 (개사),공장수 (개사),공장수 (개사),공장수 (개사),공장수 (개사),공장수 (개사),공장수 (개사),공장수 (개사)
계,113115,121051,121051,133422,140132,146173,152017,156923,163822,171872,180082,184727,189374,194545,195357,200035
서울특별시,9629,9997,9997,10179,10188,10549,10675,10837,10604,11041,11584,11546,11584,11688,11550,11651
부산광역시,7589,7929,7929,8130,8215,8549,8971,9189,9762,10290,10839,10792,10333,10353,10393,10667
대구광역시,4823,5236,5236,5725,6152,6552,6816,7094,7372,7551,7910,8179,7931,7980,8013,8203
인천광역시,7755,7941,7941,8562,9140,9508,9744,9621,9998,10699,11337,11220,11536,11984,12200,12492
광주광역시,2234,2668,2668,2759,3025,3176,3353,3456,3622,3905,4159,4366,4543,4542,4256,4435
대전광역시,1313,1453,1453,1725,1924,2077,2182,2266,2348,2397,2568,2747,2903,3028,3117,3359
울산광역시,1525,1610,1610,1870,1978,2096,2202,2292,2389,2504,2667,2728,2820,2882,2839,2925
세종특별자치시,-,-,-,-,-,-,-,658,690,716,737,766,781,799,787,762
경기도,38612,42119,42119,48056,50785,52226,54211,55873,58693,61398,64061,65559,67571,69573,69413,71325
강원도,2001,2164,2164,2460,2602,2774,2877,3026,3214,3417,3542,3611,3761,3749,3671,3794
충청북도,4649,5015,5015,5312,5655,5949,6130,6248,6783,7167,7580,8060,8477,8782,8897,9026
충청남도,5340,5748,5748,6401,6756,7165,7717,7528,7977,8476,8939,9406,9955,10447,10776,11138
전라북도,3681,3803,3803,4076,4334,4596,4839,4984,5241,5550,5870,6155,6439,6773,7063,7406
전라남도,3733,3889,3889,4442,4779,5092,5248,5443,5596,5835,6036,6313,6588,6901,7143,7421
경상북도,8718,9086,9086,9714,10117,10613,11094,11666,12321,12852,13519,13978,14471,14965,15142,15278
경상남도,11029,11873,11873,13434,13879,14612,15304,16070,16566,17399,18045,18617,19009,19418,19401,19441
제주특별자치도,484,520,520,577,603,639,654,672,646,675,689,684,672,681,696,712
