행정구역(시군구)별,항목,단위,2000.01 월,2001.01 월,2002.01 월,2003.01 월,2004.01 월,2005.01 월,2006.01 월,2007.01 월,2008.01 월,2009.01 월,2010.01 월,2011.01 월,2012.01 월,2013.01 월,2014.01 월,2015.01 월,2016.01 월,2017.01 월,2018.01 월,2019.01 월,2020.01 월,2021.01 월,2022.01 월
전국,총전입[명],명,644021.0,567295.0,771528.0,670655.0,658070.0,661039.0,680685.0,870481.0,780030.0,582164.0,631545.0,640249.0,582501,609016,580370,615130,595130,577151,662283,667227,647272,633309,552315
전국,총전출[명],명,644021.0,567295.0,771528.0,670655.0,658070.0,661039.0,680685.0,870481.0,780030.0,582164.0,631545.0,640249.0,582501,609016,580370,615130,595130,577151,662283,667227,647272,633309,552315
전국,순이동[명],명,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
전국,시도내이동-시군구내[명],명,224813.0,193849.0,268373.0,230140.0,219453.0,232886.0,244380.0,316180.0,281595.0,198107.0,221718.0,235393.0,200726,213184,210007,217333,214346,202360,233888,234956,227111,221633,192710
전국,시도내이동-시군구간 전입[명],명,203823.0,178698.0,235213.0,212099.0,203489.0,203504.0,205760.0,266444.0,239310.0,179891.0,190804.0,189114.0,171874,176991,167383,172156,167537,166402,190997,193445,188199,187981,162185
전국,시도내이동-시군구간 전출[명],명,203823.0,178698.0,235213.0,212099.0,203489.0,203504.0,205760.0,266444.0,239310.0,179891.0,190804.0,189114.0,171874,176991,167383,172156,167537,166402,190997,193445,188199,187981,162185
전국,시도간전입[명],명,215385.0,194748.0,267942.0,228416.0,235128.0,224649.0,230545.0,287857.0,259125.0,204166.0,219023.0,215742.0,209901,218841,202980,225641,213247,208389,237398,238826,231962,223695,197420
전국,시도간전출[명],명,215385.0,194748.0,267942.0,228416.0,235128.0,224649.0,230545.0,287857.0,259125.0,204166.0,219023.0,215742.0,209901,218841,202980,225641,213247,208389,237398,238826,231962,223695,197420
서울특별시,총전입[명],명,136239.0,120896.0,170308.0,139391.0,137044.0,129452.0,138523.0,198718.0,159479.0,121521.0,121063.0,124125.0,111997,118477,111094,116958,113095,114655,119120,128937,131105,114415,100675
서울특별시,총전출[명],명,135267.0,120488.0,164737.0,137834.0,129615.0,128063.0,136209.0,197061.0,157137.0,118091.0,125187.0,128449.0,115378,123006,115366,120013,119949,117173,126275,129031,127159,124855,103083
서울특별시,순이동[명],명,972.0,408.0,5571.0,1557.0,7429.0,1389.0,2314.0,1657.0,2342.0,3430.0,-4124.0,-4324.0,-3381,-4529,-4272,-3055,-6854,-2518,-7155,-94,3946,-10440,-2408
