시도(1),2000.1,2000.2,2000.5,2001.1,2001.2,2001.5,2002.1,2002.2,2002.5,2003.1,2003.2,2003.5,2004.1,2004.2,2004.5,2005.1,2005.2,2005.5,2006.1,2006.2,2006.5,2007.1,2007.2,2007.5,2008.1,2008.2,2008.5,2009.1,2009.2,2009.5,2010.1,2010.2,2010.5,2011.1,2011.2,2011.5,2012.1,2012.2,2012.5,2013.1,2013.2,2013.5,2014.1,2014.2,2014.5,2015.1,2015.2,2015.5,2016.1,2016.2,2016.5,2017.1,2017.2,2017.5,2018.1,2018.2,2018.5,2019.1,2019.2,2019.5
시도(1),총매립지 면적 (m²),총매립 용량 (m³),매립량 (m³),총매립지 면적 (m²),총매립 용량 (m³),매립량 (m³),총매립지 면적 (m²),총매립 용량 (m³),매립량 (m³),총매립지 면적 (m²),총매립 용량 (m³),매립량 (m³),총매립지 면적 (m²),총매립 용량 (m³),매립량 (m³),총매립지 면적 (m²),총매립 용량 (m³),매립량 (m³),총매립지 면적 (m²),총매립 용량 (m³),매립량 (m³),총매립지 면적 (m²),총매립 용량 (m³),매립량 (m³),총매립지 면적 (m²),총매립 용량 (m³),매립량 (m³),총매립지 면적 (m²),총매립 용량 (m³),매립량 (m³),총매립지 면적 (m²),총매립 용량 (m³),매립량 (m³),총매립지 면적 (m²),총매립 용량 (m³),매립량 (m³),총매립지 면적 (m²),총매립 용량 (m³),매립량 (m³),총매립지 면적 (m²),총매립 용량 (m³),매립량 (m³),총매립지 면적 (m²),총매립 용량 (m³),매립량 (m³),총매립지 면적 (m²),총매립 용량 (m³),매립량 (m³),총매립지 면적 (m²),총매립 용량 (m³),매립량 (m³),총매립지 면적 (m²),총매립 용량 (m³),매립량 (m³),총매립지 면적 (m²),총매립 용량 (m³),매립량 (m³),총매립지 면적 (m²),총매립 용량 (m³),매립량 (m³)
시도(1),소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
합 계,29989682,416174818,15165474,29588528,367514083,14539186,30228848,375797098,15277700,30726735,384401075,14729880,29766613,381389685,12865542,29289214,379085092,10236313,10353738,149256672,5363714,10525240,150387606,4475619,10430143,150789505,4314883,30812037,396907128,9165066,30434566,410932964,12599628,31320258,424340883,9324133,31235065,426813642,7015498,31932018,431259526,7098677,27874777,419447177,6903888,27110779,481412517,7235156,26956988,482360247,7817031,26960516,483414496,7477102,26744838,480221830,7643736,26395203,480951064,7597681
서울,19581869,289329000,6206086,19581869,240000000,6733000,19582000,240000000,7575000,19582000,240000000,7435000,19582000,240000000,6392000,19582000,240000000,5114800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
부산,396058,10580266,1117033,396058,12502000,841976,760106,20540000,844331,758342,24493000,755183,758342,24494000,636605,758342,24494000,465000,758342,24494000,472000,758342,24494000,395000,758342,24494000,360000,747922,24494000,304734,747922,24494000,310994,747922,24494000,514721,747922,24494000,519345,747922,24494000,508543,747922,24494000,303636,747922,24494000,309602,747922,24494000,309617,747922,24494000,291432,747922,24494000,290483,747922,24494000,311961
대구,585334,9224941,682611,585334,9224941,411278,585334,9224941,421784,585334,9224941,403029,585334,9224941,331683,585334,9224941,276301,585334,9224941,489621,585334,9224941,307940,585334,9224941,305531,585334,9224941,305523,585334,9224941,51979,853400,32378541,326258,853400,32378541,327629,853400,32378541,256476,853400,32378541,304526,853400,32378541,648903,853400,32378541,436789,853400,32378541,300849,853400,32378541,324168,853400,32378541,355950
인천,4494,12850,803,4494,12850,910,4494,12850,859,6024,18150,775,6024,18200,3400,6000,18200,600,226070,3218200,0,226895,3219068,1,228561,3222381,179,20013461,249009381,4847974,19793391,262536679,3845186,19793391,245809381,4952324,19793391,245809381,3155389,19793391,245809381,3340322,16189575,230700094,3175596,15412864,289347381,3273304,15418818,289347381,3446589,15418818,289347381,3400695,15335735,289347381,3551310,15335735,289347381,3565970
광주,422775,5634993,367582,422775,5634993,34516,416441,5425905,430482,416441,5425905,348604,416441,5425905,288466,240503,2924906,395379,157995,2924905,327900,157995,2924905,251400,240503,2924905,240468,240503,2924906,227828,263966,2924906,233269,263966,2924906,211629,177790,4220000,187897,644159,9480000,122024,337860,9480000,172488,337860,9480000,198265,337860,9480000,233278,337860,9480000,169010,337860,9480000,332132,337860,9480000,581520
대전,570413,8465000,594084,602429,8762000,565730,602429,8762000,637107,602429,8762000,629000,608256,8762000,470000,608256,8762000,254000,608256,8762000,265600,608,8762000,270772,608,8762000,94550,608256,8762063,275531,680256,8762063,249500,608256,8762063,262750,608256,8762000,246312,707515,8762000,281440,707515,8762000,281436,695788,8762000,255399,695877,8762000,671467,695877,8762000,305002,695788,8762000,246329,695788,8762000,254150
