TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_NM_ENG,ITM_ID,UNIT_NM,ORG_ID,UNIT_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,C2_OBJ_NM,C2_OBJ_NM_ENG,DT,PRD_SE,C2,C1,C1_NM,C2_NM,C1_NM_ENG,C2_NM_ENG
도시·비도시지역 면적현황,2016,TX_315_2009_H1002,면적,Area,16315T2008_0012,㎡,460,㎡,소재지(시군구)별,By Administrative District,도시및비도시지역별,By Current Status,106059836298,A,15315DSI001,15315HJG000,전국,합계,Total,Total
도시·비도시지역 면적현황,2016,TX_315_2009_H1002,면적,Area,16315T2008_0012,㎡,460,㎡,소재지(시군구)별,By Administrative District,도시및비도시지역별,By Current Status,606114295,A,15315DSI001,15315HJG001,서울특별시,합계,Seoul,Total
도시·비도시지역 면적현황,2016,TX_315_2009_H1002,면적,Area,16315T2008_0012,㎡,460,㎡,소재지(시군구)별,By Administrative District,도시및비도시지역별,By Current Status,23972507,A,15315DSI001,15315HJG001001,종로구,합계,Jongno-gu,Total
도시·비도시지역 면적현황,2016,TX_315_2009_H1002,면적,Area,16315T2008_0012,㎡,460,㎡,소재지(시군구)별,By Administrative District,도시및비도시지역별,By Current Status,9970000,A,15315DSI001,15315HJG001002,중구,합계,Jung-gu,Total
도시·비도시지역 면적현황,2016,TX_315_2009_H1002,면적,Area,16315T2008_0012,㎡,460,㎡,소재지(시군구)별,By Administrative District,도시및비도시지역별,By Current Status,21870000,A,15315DSI001,15315HJG001003,용산구,합계,Yongsan-gu,Total
도시·비도시지역 면적현황,2016,TX_315_2009_H1002,면적,Area,16315T2008_0012,㎡,460,㎡,소재지(시군구)별,By Administrative District,도시및비도시지역별,By Current Status,16839500,A,15315DSI001,15315HJG001004,성동구,합계,Seongdong-gu,Total
도시·비도시지역 면적현황,2016,TX_315_2009_H1002,면적,Area,16315T2008_0012,㎡,460,㎡,소재지(시군구)별,By Administrative District,도시및비도시지역별,By Current Status,17050000,A,15315DSI001,15315HJG001005,광진구,합계,Gwangjin-gu,Total
도시·비도시지역 면적현황,2016,TX_315_2009_H1002,면적,Area,16315T2008_0012,㎡,460,㎡,소재지(시군구)별,By Administrative District,도시및비도시지역별,By Current Status,14626119,A,15315DSI001,15315HJG001006,동대문구,합계,dongdaemun-gu,Total
도시·비도시지역 면적현황,2016,TX_315_2009_H1002,면적,Area,16315T2008_0012,㎡,460,㎡,소재지(시군구)별,By Administrative District,도시및비도시지역별,By Current Status,18530000,A,15315DSI001,15315HJG001007,중랑구,합계,Jungrang-gu,Total
도시·비도시지역 면적현황,2016,TX_315_2009_H1002,면적,Area,16315T2008_0012,㎡,460,㎡,소재지(시군구)별,By Administrative District,도시및비도시지역별,By Current Status,24550000,A,15315DSI001,15315HJG001008,성북구,합계,Seongbuk-gu,Total
도시·비도시지역 면적현황,2016,TX_315_2009_H1002,면적,Area,16315T2008_0012,㎡,460,㎡,소재지(시군구)별,By Administrative District,도시및비도시지역별,By Current Status,23635959,A,15315DSI001,15315HJG001009,강북구,합계,Gangbuk-gu,Total
도시·비도시지역 면적현황,2016,TX_315_2009_H1002,면적,Area,16315T2008_0012,㎡,460,㎡,소재지(시군구)별,By Administrative District,도시및비도시지역별,By Current Status,20850000,A,15315DSI001,15315HJG001010,도봉구,합계,dobong-gu,Total
도시·비도시지역 면적현황,2016,TX_315_2009_H1002,면적,Area,16315T2008_0012,㎡,460,㎡,소재지(시군구)별,By Administrative District,도시및비도시지역별,By Current Status,35459862,A,15315DSI001,15315HJG001011,노원구,합계,Nowon-gu,Total
도시·비도시지역 면적현황,2016,TX_315_2009_H1002,면적,Area,16315T2008_0012,㎡,460,㎡,소재지(시군구)별,By Administrative District,도시및비도시지역별,By Current Status,29793436,A,15315DSI001,15315HJG001012,은평구,합계,Eunpyeong-gu,Total
도시·비도시지역 면적현황,2016,TX_315_2009_H1002,면적,Area,16315T2008_0012,㎡,460,㎡,소재지(시군구)별,By Administrative District,도시및비도시지역별,By Current Status,17600000,A,15315DSI001,15315HJG001013,서대문구,합계,Seodaemun-gu,Total
도시·비도시지역 면적현황,2016,TX_315_2009_H1002,면적,Area,16315T2008_0012,㎡,460,㎡,소재지(시군구)별,By Administrative District,도시및비도시지역별,By Current Status,23890251,A,15315DSI001,15315HJG001014,마포구,합계,Mapo-gu,Total
도시·비도시지역 면적현황,2016,TX_315_2009_H1002,면적,Area,16315T2008_0012,㎡,460,㎡,소재지(시군구)별,By Administrative District,도시및비도시지역별,By Current Status,17410000,A,15315DSI001,15315HJG001015,양천구,합계,Yangcheon-gu,Total
도시·비도시지역 면적현황,2016,TX_315_2009_H1002,면적,Area,16315T2008_0012,㎡,460,㎡,소재지(시군구)별,By Administrative District,도시및비도시지역별,By Current Status,41400000,A,15315DSI001,15315HJG001016,강서구,합계,Gangseo-gu,Total
도시·비도시지역 면적현황,2016,TX_315_2009_H1002,면적,Area,16315T2008_0012,㎡,460,㎡,소재지(시군구)별,By Administrative District,도시및비도시지역별,By Current Status,20119485,A,15315DSI001,15315HJG001017,구로구,합계,guro-gu,Total
도시·비도시지역 면적현황,2016,TX_315_2009_H1002,면적,Area,16315T2008_0012,㎡,460,㎡,소재지(시군구)별,By Administrative District,도시및비도시지역별,By Current Status,13370000,A,15315DSI001,15315HJG001018,금천구,합계,Geumcheon-gu,Total
도시·비도시지역 면적현황,2016,TX_315_2009_H1002,면적,Area,16315T2008_0012,㎡,460,㎡,소재지(시군구)별,By Administrative District,도시및비도시지역별,By Current Status,24354829,A,15315DSI001,15315HJG001019,영등포구,합계,Yeongdeungpo-gu,Total
도시·비도시지역 면적현황,2016,TX_315_2009_H1002,면적,Area,16315T2008_0012,㎡,460,㎡,소재지(시군구)별,By Administrative District,도시및비도시지역별,By Current Status,16387882,A,15315DSI001,15315HJG001020,동작구,합계,dongjak-gu,Total
