지역,2012,2013,2014,2015,2016,2017,2018,2019,2020
전국,106176421469,106106354110.0,106102173069.0,106061375830.0,106059836298.0,106108849300.0,106285848735.0,106210401153.0,106204663546.0
서울특별시,605958000,605961477.0,606361456.0,605267992.0,606114295.0,605597491.0,605569314.0,605512630.0,605680193.0
종로구,23910000,23910000.0,23910000.0,23910000.0,23972507.0,23971709.0,23972507.0,23972507.0,23972507.0
중구,9970000,9970000.0,9970000.0,9970000.0,9970000.0,9974292.0,9974292.0,9974292.0,9974292.0
용산구,21870000,21870000.0,21870000.0,21870000.0,21870000.0,21898766.0,21870000.0,21870000.0,21870000.0
성동구,16840000,16840000.0,16839500.0,16839500.0,16839500.0,16804426.0,16804426.0,16804270.0,16804270.0
광진구,17050000,17050000.0,17050000.0,17050000.0,17050000.0,17075115.0,17075115.0,17075115.0,17075115.0
동대문구,14220000,14220000.0,14625893.0,14626119.0,14626119.0,14245433.0,14245433.0,14245433.0,14251163.0
중랑구,18530000,18530000.0,18530000.0,18530000.0,18530000.0,18531520.0,18531520.0,18531520.0,18531526.0
성북구,24550000,24550000.0,24550000.0,24550000.0,24550000.0,24621422.0,24621422.0,24621422.0,24621422.0
강북구,23580000,23580000.0,23580000.0,23635959.0,23635959.0,23636019.0,23636019.0,23636019.0,23636019.0
도봉구,20850000,20850000.0,20850000.0,20850000.0,20850000.0,20679052.0,20679052.0,20679052.0,20839966.0
노원구,35460000,35460032.0,35460032.0,35459862.0,35459862.0,35595942.0,35595942.0,35545790.0,35546826.0
은평구,29720000,29723445.0,29723445.0,28791778.0,29793436.0,29788522.0,29788522.0,29788522.0,29788522.0
서대문구,17600000,17600000.0,17600000.0,17600000.0,17600000.0,17685973.0,17685845.0,17685845.0,17685845.0
마포구,23870000,23870000.0,23870000.0,23870000.0,23890251.0,23890251.0,23890251.0,23884089.0,23883966.0
양천구,17410000,17410000.0,17410000.0,17410000.0,17410000.0,17469613.0,17469613.0,17469613.0,17469613.0
강서구,41400000,41400000.0,41400000.0,41400000.0,41400000.0,41462497.0,41462415.0,41463274.0,41463274.0
구로구,20120000,20120000.0,20119485.0,20119485.0,20119485.0,20136328.0,20136328.0,20136328.0,20136328.0
금천구,13370000,13370000.0,13370000.0,13370000.0,13370000.0,13012685.0,13012685.0,13012685.0,13012685.0
영등포구,24560000,24560000.0,24560000.0,24354829.0,24354829.0,24354829.0,24354830.0,24354830.0,24354830.0
동작구,16350000,16350000.0,16345101.0,16387882.0,16387882.0,16387882.0,16387882.0,16387882.0,16387882.0
관악구,29570000,29570000.0,29570000.0,29570000.0,29570000.0,29563482.0,29563482.0,29563482.0,29563482.0
서초구,47138000,47138000.0,47138000.0,47138000.0,46899887.0,46899887.0,46899887.0,46899887.0,46899887.0
강남구,39550000,39550000.0,39550000.0,39550000.0,39550000.0,39497268.0,39497268.0,39497268.0,39497268.0
송파구,33890000,33890000.0,33890000.0,33858375.0,33858375.0,33858375.0,33858375.0,33857302.0,33857302.0
강동구,24580000,24580000.0,24580000.0,24556203.0,24556203.0,24556203.0,24556203.0,24556203.0,24556203.0
부산광역시,995719552,995683505.0,993535751.0,993535751.0,993535750.0,993535750.0,993535752.0,993535752.0,993535749.0
서구,29362772,29362772.0,29362772.0,29362772.0,29362772.0,29362772.0,29362772.0,29362772.0,29362772.0
동구,11593305,11593305.0,11593305.0,11593305.0,11593305.0,11593305.0,11593305.0,11593305.0,11593305.0
영도구,56165682,56165682.0,56165682.0,56165682.0,56165682.0,56165682.0,56165682.0,56165682.0,56165682.0
부산진구,29682617,29682617.0,29682617.0,29682617.0,29682617.0,29682617.0,29666536.0,29666536.0,29666536.0
동래구,16697577,16697577.0,16697578.0,16697578.0,16697577.0,16697577.0,16697577.0,16697577.0,16697577.0
남구,42507261,42507261.0,42507261.0,42507261.0,42507261.0,42507261.0,42507261.0,42507261.0,42507261.0
북구,39434038,39434038.0,39434038.0,39434038.0,39434038.0,39434038.0,39434038.0,39434038.0,39434038.0
해운대구,55065412,55065412.0,55065412.0,55065412.0,55065412.0,55065412.0,55065412.0,55065412.0,55065412.0
사하구,85537835,85537835.0,85537835.0,85537835.0,85537835.0,85537835.0,85537835.0,85537835.0,85537835.0
금정구,65179775,65179775.0,65179775.0,65179775.0,65179775.0,65179775.0,65179775.0,65179775.0,65179775.0
연제구,12078474,12078474.0,12078474.0,12078474.0,12078474.0,12078474.0,12094555.0,12094555.0,12094555.0
수영구,14084751,14084751.0,14084751.0,14084751.0,14084751.0,14084751.0,14084752.0,14084752.0,14084751.0
사상구,36106274,36106274.0,36106274.0,36106274.0,36106274.0,36106274.0,36106275.0,36106275.0,36106274.0
기장군,221600001,221563954.0,221563955.0,221563955.0,221563955.0,221563955.0,221563954.0,221563954.0,221563954.0
대구광역시,883632421,883482978.0,883540110.0,883562682.0,883568958.0,883603112.0,883519270.0,883517379.0,883487477.0
수성구,76467812,76464886.0,76466610.0,76465609.0,76466396.0,76536623.0,76534405.0,76535269.0,76536911.0
