지역,2012,2013,2014,2015,2016,2017,2018,2019,2020
전국,279522620.0,277420070.0,290008712.0,298322891.0,311236233.7,319870540.7,327072635.9,329553922.5,332023788.6
서울특별시,42811379.0,40884871.0,41620697.0,41464388.0,41823307.9,41643855.4,41297377.7,40114689.7,39254952.2
종로구,641520.0,623780.0,636518.0,621110.0,612878.3,617249.8,620584.2,578443.4,584920.4
중구,765118.0,725198.0,768928.0,690171.0,717276.5,666163.0,697498.4,690370.1,625188.8
용산구,866309.0,839643.0,853299.0,840347.0,853230.6,841631.3,854237.5,833429.4,848284.1
성동구,1276209.0,1233707.0,1280027.0,1298350.0,1368202.4,1388940.6,1466138.8,1454743.5,1460458.7
광진구,1358819.0,1301254.0,1314116.0,1323282.0,1355278.4,1345294.5,1314605.9,1274866.8,1234231.4
동대문구,1307306.0,1278264.0,1303741.0,1308092.0,1327893.4,1310907.9,1257187.4,1220638.7,1224003.1
중랑구,1603065.0,1555783.0,1590072.0,1619907.0,1585150.9,1613619.2,1590689.9,1517720.0,1450641.0
성북구,1604579.0,1541156.0,1560874.0,1538732.0,1531562.8,1528536.3,1478747.9,1454077.2,1417473.4
강북구,1111813.0,1023829.0,1053599.0,1028488.0,1037191.6,1036416.0,1026975.9,1155322.7,1026470.2
도봉구,1493537.0,1342521.0,1366028.0,1378854.0,1341110.0,1341527.4,1312738.4,1241415.8,1208668.4
노원구,2362573.0,2202413.0,2192251.0,2210005.0,2148235.3,2142890.0,2045064.4,1980062.6,1920927.7
은평구,1805163.0,1750033.0,1753754.0,1772406.0,1720973.8,1714312.4,1705642.9,1628985.9,1651846.9
서대문구,1169812.0,1108439.0,1117501.0,1156883.0,1151427.5,1151648.2,1135866.5,1101497.7,1082417.4
마포구,1563652.0,1508945.0,1585754.0,1560829.0,1583769.6,1567906.3,1530261.7,1483146.6,1462626.9
양천구,2239600.0,2138782.0,2122280.0,2148453.0,2072868.5,2053566.6,2001499.3,1921258.1,1876148.8
강서구,2930788.0,2711472.0,2755894.0,2883776.0,2788436.8,2862148.4,2872362.1,2846616.3,2717909.8
