TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_ID,UNIT_NM,ORG_ID,UNIT_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,DT,PRD_SE,C1,C1_NM,C1_NM_ENG
일산화탄소 월별 도시별 대기오염도,201212,DT_106N_03_0200044,월평균,1310312823816106ME_004383H.004001,ppm,106,ppm,시도별,By City,0.7,M,13102128238.15106ME_004383.003001,총계,Total
일산화탄소 월별 도시별 대기오염도,201212,DT_106N_03_0200044,월평균,1310312823816106ME_004383H.004001,ppm,106,ppm,시도별,By City,0.7,M,13102128238.15106ME_004383.003002001,서울,Seoul
일산화탄소 월별 도시별 대기오염도,201212,DT_106N_03_0200044,월평균,1310312823816106ME_004383H.004001,ppm,106,ppm,시도별,By City,0.5,M,13102128238.15106ME_004383.003003001,부산,Busan
일산화탄소 월별 도시별 대기오염도,201212,DT_106N_03_0200044,월평균,1310312823816106ME_004383H.004001,ppm,106,ppm,시도별,By City,0.7,M,13102128238.15106ME_004383.003004001,대구,Daegu
일산화탄소 월별 도시별 대기오염도,201212,DT_106N_03_0200044,월평균,1310312823816106ME_004383H.004001,ppm,106,ppm,시도별,By City,0.8,M,13102128238.15106ME_004383.003005001,인천,Incheon
일산화탄소 월별 도시별 대기오염도,201212,DT_106N_03_0200044,월평균,1310312823816106ME_004383H.004001,ppm,106,ppm,시도별,By City,0.6,M,13102128238.15106ME_004383.003006001,광주,Gwangju
일산화탄소 월별 도시별 대기오염도,201212,DT_106N_03_0200044,월평균,1310312823816106ME_004383H.004001,ppm,106,ppm,시도별,By City,0.6,M,13102128238.15106ME_004383.003007001,대전,Daejeon
일산화탄소 월별 도시별 대기오염도,201212,DT_106N_03_0200044,월평균,1310312823816106ME_004383H.004001,ppm,106,ppm,시도별,By City,0.6,M,13102128238.15106ME_004383.003008001,울산,Ulsan
일산화탄소 월별 도시별 대기오염도,201212,DT_106N_03_0200044,월평균,1310312823816106ME_004383H.004001,ppm,106,ppm,시도별,By City,0.8,M,13102128238.15106ME_004383.003009001,수원,Gyeonggi-do
일산화탄소 월별 도시별 대기오염도,201212,DT_106N_03_0200044,월평균,1310312823816106ME_004383H.004001,ppm,106,ppm,시도별,By City,0.7,M,13102128238.15106ME_004383.003009002,안양,Anyang-si
일산화탄소 월별 도시별 대기오염도,201212,DT_106N_03_0200044,월평균,1310312823816106ME_004383H.004001,ppm,106,ppm,시도별,By City,0.8,M,13102128238.15106ME_004383.003009003,성남,Seongnam-si
일산화탄소 월별 도시별 대기오염도,201212,DT_106N_03_0200044,월평균,1310312823816106ME_004383H.004001,ppm,106,ppm,시도별,By City,1,M,13102128238.15106ME_004383.003009004,의정부,Uijeongbu-si
일산화탄소 월별 도시별 대기오염도,201212,DT_106N_03_0200044,월평균,1310312823816106ME_004383H.004001,ppm,106,ppm,시도별,By City,0.7,M,13102128238.15106ME_004383.003009005,광명,Gwangmyeong-si
