지역,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
전국,0.7,0.8,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.5
서울특별시,0.8,0.9,0.7,0.7,0.6,0.7,0.6,0.8,0.7,0.6
부산광역시,0.4,0.5,0.5,0.4,0.5,0.4,0.4,0.4,0.4,0.4
대구광역시,0.6,0.7,0.7,0.5,0.6,0.6,0.6,0.7,0.7,0.5
인천광역시,0.8,1.0,0.8,0.8,0.7,0.8,0.7,0.7,0.7,0.6
광주광역시,0.7,0.8,0.7,0.6,0.6,0.5,0.6,0.6,0.6,0.5
대전광역시,0.7,0.8,0.8,0.7,0.6,0.6,0.6,0.6,0.5,0.6
울산광역시,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5
수원,0.9,1.0,0.9,0.8,0.8,0.8,0.8,0.8,0.7,0.6
안양,0.9,0.8,0.8,0.7,0.6,0.7,0.7,0.8,0.7,0.6
성남,0.8,0.9,0.8,0.8,0.7,0.8,0.6,0.7,0.8,0.6
의정부,1.0,1.2,1,0.8,0.8,0.7,0.7,0.8,0.8,0.6
광명,0.8,0.9,0.7,0.8,0.7,0.7,0.7,0.8,0.7,0.5
안산,0.8,0.9,0.8,0.7,0.6,0.6,0.6,0.7,0.7,0.5
평택,0.6,0.7,0.6,0.6,0.6,0.5,0.6,0.6,0.5,0.5
과천,0.9,1.1,0.9,0.9,0.7,0.8,0.8,0.9,0.8,0.6
구리,0.9,1.1,0.8,0.7,0.6,0.6,0.6,0.6,0.5,0.4
의왕,1.1,1.1,1,1.0,0.8,0.8,0.8,0.8,0.7,0.6
고양,0.6,0.9,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.5
군포,0.7,0.8,0.7,0.6,0.6,0.6,0.6,0.7,0.6,0.6
시흥,0.8,1.0,0.9,0.8,0.8,0.7,0.7,0.8,0.7,0.6*
부천,0.8,0.8,0.8,0.8,0.6,0.6,0.5,0.7,0.6,0.6
남양주,0.7,0.8,0.7,0.7,0.7,0.6,0.6,0.7,0.6,0.5
용인,0.8,0.9,0.9,0.8,0.7,0.7,0.7,0.7,0.7,0.6
김포,0.9,0.9,0.8,0.7,0.6,0.6,0.5,0.6,0.5,0.5
오산,0.7,0.8,0.7,0.7,0.6,0.7,0.7,0.7,0.6,0.5
하남,0.8,0.9,0.8,0.7,0.7,0.7,0.7,0.8,0.6,0.6
화성,0.6,0.7,0.6,0.6,0.5,0.6,0.6,0.6,0.6,0.5
양주,0.9,1.1,0.8,0.7,0.8,0.7,0.6,0.6,0.5,0.5
동두천,0.9,0.9,0.8,0.7,0.7,0.7,0.6,0.7,0.4,0.5
안성,0.6,0.8,0.6,0.6,0.5,0.5,0.5,0.6,0.6,0.6
이천,0.7,0.9,0.8,0.6,0.7,0.7,0.6,0.8,0.6,0.5
파주,1.0,1.3,1,0.9,0.8,0.8,0.7,0.9,0.7,0.6
포천,0.9,1.1,0.9,0.8,0.8,0.8,0.7,0.8,0.7,0.6
여주,0.8,0.9,0.8,0.7,0.7,0.8,0.7,0.8,0.6,0.5
연천,0.7,0.8,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.6
가평,0.6,0.8,0.6,0.6,0.5,0.6,0.5,0.7,0.6,0.5
양평,0.8,0.9,0.8,0.7,0.7,0.7,0.7,0.7,0.6,0.6
도평균,0.8,0.9,0.8,0.7,0.7,0.7,0.6,0.7,0.6,0.6
춘천,0.9,1.2,1.1,1.0,0.9**,0.8**,0.8,0.9,0.7,0.7
강릉,0.7,0.7,0.7,0.8,0.6,0.6,0.5,0.3,0.5,0.4
원주,1.3,1.6,1.6,1.3,1.2,1,0.9,0.9,0.6,0.6
동해,0.8,0.6,0.7,0.7,0.6,0.5,0.5,0.4,0.5,0.5
삼척,0.7,0.8,0.8,0.8,0.7,0.5,0.5,0.4,0.4,0.4
청주,0.8,1.1,0.9*,0.8,0.7,0.7,0.7,0.7,0.6,0.6
충주,1.2,1.1,1,1.0,0.7,0.7,0.8,0.8,0.7,0.6
제천,1.3,1.7,0.9,1.0,1,1,1.1,0.7,0.8,0.7
청원,0.6,0.8,0.7,,,,,,,
단양,0.9,1.1,1,0.8,0.9,1.2,0.9,0.7,0.7,0.6
천안,0.9,0.9,0.7,1.0,0.6,0.6,0.6,0.8,0.6,0.5
당진,0.6,0.6,0.5,0.6,0.4,0.5,0.8*,0.8,0.6,0.6
서산,0.7,0.7,0.7,0.8,0.6,0.7,0.6,0.8,0.6,0.5
아산,0.8,0.9,0.9,0.9,0.9,0.7,0.5,0.7,0.5,0.5
전주,0.7,0.8,0.6,0.6,0.6,0.7,0.6,0.7,0.5*,0.5
군산,0.7,0.8,0.7,0.8,0.7,0.6,0.7,0.7,0.5,0.5
익산,0.7,0.7,0.6,0.5,0.6,0.6,0.6,0.5,0.5,0.4
남원,0.8,0.7,0.9,0.8,0.8,0.7,0.8,0.6,0.5,0.5
정읍,0.6,0.7,0.7,0.4,0.5,0.8,0.7,0.5,0.4,0.5
고창,0.4,0.4,0.6,0.7,0.4,0.7,0.7,0.5,0.4,0.3
여수,0.6,0.6,0.7,0.6,0.7,0.6,0.7,0.8,0.6,0.6
광양,0.5,0.5,0.6,0.4,0.4,0.4,0.5,0.5*,0.6,0.5
순천,0.5,0.6,0.6,0.6,0.5,0.6,0.7,0.5,0.5,0.5
목포,0.6,0.6,0.6,0.8,0.7,0.6,0.7,0.7,0.6,0.5
영암,0.4,0.5,0.5,0.6,0.4,0.4,0.3,0.5,0.4,0.4
포항,0.5,0.7,0.7,0.7,0.5,0.7,0.5,0.5,0.6,0.6
구미,0.7,1.0,0.8,0.9,0.8*,0.6,0.6,0.5,0.6,0.5
김천,0.6,0.8,0.8,0.8,0.7,0.6,0.8,0.6,0.8,0.6
경주,0.6,0.7,0.7,0.6,0.5,0.5,0.5,0.3,0.4,0.4
안동,0.7,0.9,1,0.7,0.6,0.6,0.8,,0.7,0.7
영주,1.5,1.7,1.5,1.4,1.2,1.2,0.9,0.8,0.8**,0.7
창원,0.6,0.8,0.8,0.6,0.6,0.5,0.6,0.5,0.5,0.5
마산,0.5,0.5,0.5,,,,,,,
진주,0.6,0.8,0.8,0.6,0.6,0.7,0.6,0.6,0.5,0.5
진해,0.4,0.7,0.9,,,,,,,
하동,0.4,0.5,0.5,0.4,0.4,0.5,0.4,0.5,0.4,0.5
김해,0.4,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5
양산,0.5,0.7,0.7,0.6,0.5,0.5,0.6,0.6,0.6,0.5
거제,0.4,0.5,0.5,0.4,0.6,0.5,0.5**,0.5,0.5,0.4*
제주특별자치도,0.5,0.5,0.5,0.3,0.4,0.3,0.3,0.5,0.4,0.3
서귀포,0.4,0.5,0.4,0.3,0.4,0.3,0.3,0.3,0.3,0.3
