지역,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
전국,1729982,1711436.0,1691113.0,1679022.72043795,1643599.0,1620796.0525,1595614.0228,1580957.0366,1564797.1642,1546716.6463
서울특별시,807,629.0,480.0,475.9942114794,422.0,402.1097,352.581,347.1006,343.469,618.5349
부산광역시,6927,6415.0,6351.0,6008.2257140716,5934.0,5742.36,5578.2326,5408.0101,5305.5755,5041.6399
기장군,1794,1715.0,1703.0,1663.5177094134,1641.0,1565.7828,1503.8481,1498.6505,1431.7424,1142.1903
대구광역시,9170,8825.0,8660.0,8290.7593260404,8102.0,8061.5645,7661.206,7471.5593,7458.2674,7037.9235
달성군,6091,6032.0,5909.0,5692.5041893567,5612.0,5590.4877,5331.532,5232.838,5231.013,4750.1032
인천광역시,20546,20042.0,20098.0,20114.1916940539,19511.0,19003.8725,18376.7025,18244.2475,18082.986,17620.0678
강화군,14934,14505.0,14514.0,14552.613873723,14446.0,14175.7086,13947.7547,13854.9525,13738.6087,13516.002
광주광역시,10770,10628.0,10370.0,10261.1552374677,9878.0,9446.1919,9327.7029,9251.8373,9083.2437,9368.2151
광산구,5958,5870.0,5850.0,5819.3277840786,5612.0,5348.7703,5306.2921,5245.5746,5182.6172,5362.489
대전광역시,4821,4616.0,4385.0,4304.9115051686,4072.0,3888.2513,3793.79,3741.6566,3577.3069,3961.0892
울산광역시,11703,11441.0,11369.0,11003.1440886776,10889.0,10540.3375,10063.5392,9977.2459,9869.6928,9273.7725
울주군,9390,9347.0,9303.0,9131.3301240822,9059.0,8767.8543,8383.1724,8308.559,8213.7083,7429.5476
경기도,182537,176857.0,176028.0,175416.86105732,169435.0,165707.4763,162587.4583,160181.0794,156699.1483,152352.7035
수원시,1221,1122.0,1125.0,1121.3306784045,1054.0,1051.0331,1034.8531,996.2974,969.647,1178.8993
성남시,499,499.0,483.0,481.071424699,485.0,460.5323,410.9422,402.063,398.639,369.528
의정부시,542,493.0,476.0,475.5264546874,371.0,328.3887,278.8438,273.8131,267.117,227.2536
안양시,78,77.0,75.0,74.9568043293,72.0,64.1742,62.8917,62.8917,59.647,29.9465
부천시,701,675.0,667.0,599.9564534914,539.0,534.6451,534.6451,503.0674,501.5626,480.1447
광명시,474,472.0,460.0,457.2960571841,451.0,448.0164,442.5568,438.4012,437.3069,356.4111
평택시,20171,19889.0,19780.0,19683.5614727432,19222.0,18740.1232,18178.938,17951.3828,17478.4221,16327.319
동두천시,506,440.0,426.0,426.569582777,410.0,393.3372,381.764,376.3092,370.995,409.0133
안산시,2187,2139.0,2126.0,2120.4486261091,2013.0,1970.021,1957.3452,1864.1239,1813.516,2486.3551
고양시,4289,4288.0,4193.0,4191.6798812278,4009.0,3806.0671,3647.1412,3607.9417,3513.0402,3562.3531
과천시,289,287.0,274.0,277.7535051032,276.0,224.6135,215.1942,213.745,213.4872,198.6344
구리시,434,387.0,354.0,316.4026663622,310.0,302.7092,300.3827,283.7406,280.7268,244.3801
남양주시,3603,3298.0,3263.0,3242.7433487908,2967.0,2779.6324,2677.2837,2557.8333,2465.8935,2394.1789
오산시,577,569.0,572.0,569.625624568,491.0,448.7696,430.9525,407.8151,392.0116,483.0476
시흥시,2701,2645.0,2621.0,2613.9676768562,2586.0,2520.7167,2469.83,2463.8151,2399.6181,2040.137
군포시,238,228.0,214.0,213.1942360701,193.0,187.6684,186.3583,183.9141,179.3866,233.3782
