TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_NM_ENG,ITM_ID,UNIT_NM,ORG_ID,UNIT_NM_ENG,C1_OBJ_NM,C2_OBJ_NM,DT,PRD_SE,C2,C1,C1_NM,C1_NM_ENG,C2_NM,C2_NM_ENG
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,221763854,A,15315NJB000,15315HJG000,전국,Total,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,5034732,A,15315NJB000,15315HJG001,서울특별시,Seoul,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,76901,A,15315NJB000,15315HJG001001,종로구,Jongno-gu,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,47885,A,15315NJB000,15315HJG001002,중구,Jung-gu,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,78174,A,15315NJB000,15315HJG001003,용산구,Yongsan-gu,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,35588,A,15315NJB000,15315HJG001004,성동구,Seong-dong,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,20865,A,15315NJB000,15315HJG001005,광진구,Gwangjin-gu,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,72802,A,15315NJB000,15315HJG001006,동대문구,Dongdaemun-gu,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,187309,A,15315NJB000,15315HJG001007,중랑구,Jungnang-gu,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,73865,A,15315NJB000,15315HJG001008,성북구,Seongbuk-gu,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,23904,A,15315NJB000,15315HJG001009,강북구,Gangbuk-gu,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,29280,A,15315NJB000,15315HJG001010,도봉구,Dobong-gu,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,318643,A,15315NJB000,15315HJG001011,노원구,Nowon-gu,계,Total
