지역,2012,2013,2014,2015,2016,2017,2018,2019,2020
전국,184555378,190924626.0,193698697.0,225286140.0,224053325.0,236515252.0,221763854.0,223209482.0,204194439.0
서울특별시,5509077,5522274.0,5264095.0,4981877.0,5013617.0,5041145.0,5034732.0,5028167.0,4791053.0
종로구,104981,104981.0,76901.0,76901.0,76901.0,76901.0,76901.0,76901.0,64145.0
중구,47885,47885.0,47885.0,47885.0,47885.0,47885.0,47885.0,47885.0,32251.0
용산구,81454,81454.0,81454.0,84721.0,84721.0,84721.0,78174.0,76452.0,74456.0
성동구,283650,283653.0,35588.0,35588.0,35588.0,35588.0,35588.0,35588.0,35588.0
광진구,20865,20865.0,20865.0,20865.0,20865.0,20865.0,20865.0,18807.0,18807.0
동대문구,70581,70581.0,72802.0,72802.0,72802.0,72802.0,72802.0,72802.0,53843.0
중랑구,187309,187309.0,187309.0,187309.0,187309.0,187309.0,187309.0,187309.0,187309.0
성북구,73865,73865.0,73865.0,73865.0,73865.0,73865.0,73865.0,73865.0,22879.0
강북구,23904,23904.0,23904.0,23904.0,23904.0,23904.0,23904.0,20496.0,20496.0
도봉구,29280,29280.0,29280.0,29280.0,29280.0,29280.0,29280.0,29280.0,29280.0
노원구,306004,309197.0,309194.0,313489.0,316464.0,316464.0,318643.0,318643.0,380007.0
은평구,99711,113402.0,115644.0,115644.0,105854.0,105854.0,106724.0,106724.0,106724.0
서대문구,484351,479864.0,475841.0,475841.0,475841.0,475841.0,475841.0,475841.0,442285.0
마포구,679691,679691.0,679691.0,319655.0,319655.0,319655.0,319655.0,320959.0,160777.0
양천구,237492,237492.0,236356.0,242674.0,242674.0,238469.0,238469.0,238469.0,238469.0
강서구,292746,294615.0,292926.0,292926.0,292926.0,293799.0,293799.0,293799.0,293516.0
구로구,163557,163557.0,160627.0,160627.0,160627.0,155003.0,154703.0,154703.0,150588.0
금천구,32937,32937.0,34851.0,34851.0,34681.0,32341.0,32341.0,32341.0,32341.0
영등포구,63389,63389.0,65399.0,60377.0,60380.0,60380.0,42905.0,42905.0,42905.0
동작구,24191,24191.0,37589.0,37589.0,37589.0,37751.0,38051.0,37370.0,37370.0
관악구,65653,65653.0,65653.0,65653.0,65653.0,65653.0,65653.0,65653.0,65651.0
서초구,768733,768733.0,768733.0,922978.0,922978.0,916036.0,928883.0,928883.0,928874.0
강남구,797721,797721.0,797721.0,797721.0,797721.0,797721.0,799434.0,799434.0,799434.0
송파구,381453,380381.0,386343.0,331532.0,370254.0,415858.0,415858.0,415858.0,415858.0
강동구,187674,187674.0,187674.0,157200.0,157200.0,157200.0,157200.0,157200.0,157200.0
부산광역시,9548408,9577086.0,9603482.0,11517117.0,10336182.0,10162362.0,9903671.0,9436838.0,6981200.0
대구광역시,8195245,8801345.0,8217374.0,7931700.0,7260884.0,7068727.0,6875130.0,6932334.0,4692846.0
동구,1189030,1189030.0,1189030.0,1185408.0,1182958.0,1208652.0,1089528.0,1055969.0,1040276.0
서구,655503,655503.0,655503.0,430707.0,430707.0,434894.0,435620.0,435620.0,181246.0
북구,1493071,1504758.0,948605.0,1069398.0,1102443.0,1092359.0,1238239.0,1210457.0,577153.0
수성구,278071,279857.0,269008.0,269008.0,269008.0,270512.0,269795.0,268764.0,338019.0
달서구,828004,828004.0,815877.0,813901.0,816268.0,820477.0,821683.0,822434.0,751095.0
달성군,3742148,4334775.0,4329933.0,4153860.0,3450082.0,3232415.0,3010847.0,3129672.0,1795639.0
인천광역시,10933937,9526054.0,10238415.0,10600844.0,10784366.0,9466026.0,9756545.0,9752122.0,9991482.0
남구,512060,625485.0,622765.0,555139.0,552294.0,545949.0,145150.0,145150.0,135957.0
연수구,1025689,1065122.0,1305729.0,331502.0,331502.0,331425.0,339081.0,339081.0,339081.0
남동구,716446,785347.0,782752.0,723362.0,781467.0,781467.0,820734.0,813626.0,809963.0
부평구,736929,279905.0,281743.0,193749.0,193749.0,193749.0,192449.0,192449.0,194754.0
계양구,107582,78513.0,78513.0,134986.0,139948.0,189106.0,185480.0,193765.0,193765.0
강화군,38263,38263.0,337113.0,335830.0,335830.0,335830.0,335830.0,335830.0,335830.0
광주광역시,3044671,3784609.0,3964630.0,3969891.0,3959483.0,3969901.0,3902033.0,3902033.0,4073493.0
광산구,2089180,2663257.0,2792365.0,2792365.0,2792365.0,2792365.0,2724941.0,2724941.0,2419146.0
대전광역시,3010394,2824272.0,3010061.0,2944213.0,2917406.0,2911037.0,2833730.0,2933261.0,2735010.0
유성구,843299,758932.0,971508.0,952788.0,982793.0,980317.0,1010827.0,1062490.0,1062490.0
대덕구,1048663,923682.0,898737.0,895929.0,773080.0,770715.0,677170.0,734079.0,734079.0
울산광역시,9602228,9592618.0,9887988.0,10065505.0,10368961.0,9931368.0,9926509.0,9931667.0,6976881.0
경기도,38178208,40405498.0,40261433.0,66334239.0,65194120.0,79089449.0,63662145.0,64603217.0,60841319.0
수원시,1957682,1895804.0,1895718.0,1887728.0,1802569.0,1802569.0,1809597.0,1896600.0,1775920.0
성남시,2274173,2276120.0,2123340.0,1978537.0,2173958.0,2163629.0,2156593.0,2173184.0,1283011.0
의정부시,766702,750391.0,753263.0,753263.0,760032.0,755879.0,755879.0,733340.0,745727.0
안양시,500197,491928.0,483088.0,486438.0,480628.0,480001.0,476028.0,476028.0,378962.0
부천시,678166,676818.0,665672.0,778877.0,772487.0,732000.0,725856.0,738416.0,742737.0
광명시,1444813,1444813.0,1466380.0,402138.0,404876.0,404876.0,419845.0,419845.0,419845.0
평택시,1629765,1629765.0,1629765.0,1629765.0,611585.0,2514482.0,4909535.0,4910153.0,4910153.0
동두천시,230219,230219.0,228338.0,246576.0,236096.0,188517.0,188420.0,212333.0,198903.0
안산시,2553908,2552786.0,2451323.0,2389940.0,2507863.0,2530905.0,2221562.0,2234424.0,2234424.0
고양시,2406272,2295919.0,2263156.0,2174792.0,2188039.0,1559729.0,1616199.0,2202681.0,2315412.0
과천시,64755,64755.0,65160.0,174793.0,178104.0,181350.0,213523.0,212650.0,212650.0
구리시,229301,233592.0,230795.0,239833.0,243565.0,237215.0,239191.0,297326.0,271965.0
남양주시,1618780,3358345.0,3376246.0,3415837.0,3564388.0,3571053.0,3509355.0,3515628.0,1644599.0
오산시,1189814,1120129.0,1183898.0,1160453.0,912249.0,923418.0,924406.0,922015.0,736876.0
시흥시,4694288,4790481.0,4790481.0,4790481.0,4757328.0,3601056.0,2516775.0,2514231.0,2514823.0
군포시,546971,566717.0,562734.0,562734.0,570850.0,571694.0,556702.0,556702.0,474025.0
의왕시,170238,173239.0,198947.0,319827.0,354417.0,381616.0,382992.0,384513.0,445140.0
하남시,664028,646695.0,653600.0,643444.0,645517.0,644275.0,647052.0,647052.0,647052.0
용인시,3655779,3686010.0,3686010.0,3686010.0,3726765.0,2637605.0,2493631.0,2493631.0,2490853.0
파주시,2550566,2561092.0,2570275.0,2581066.0,2593386.0,2586326.0,2732063.0,2732063.0,2647762.0
이천시,696964,1117780.0,1117780.0,1117780.0,1117780.0,1117780.0,541116.0,567109.0,542705.0
안성시,1268647,1410676.0,1409441.0,1446372.0,1425587.0,1549459.0,1540465.0,1556909.0,1431850.0
김포시,1404037,1450299.0,1438697.0,1458977.0,1458977.0,1458977.0,1418389.0,1514824.0,1530444.0
화성시,1979760,1979760.0,1979760.0,28597043.0,28628919.0,43352919.0,27467752.0,27474638.0,27474638.0
광주시,604551,649103.0,693693.0,960238.0,858232.0,873482.0,886932.0,886932.0,864460.0
양주시,1356762,1356762.0,1298181.0,1284150.0,1052582.0,1001340.0,977122.0,1005034.0,976658.0
포천시,222490,172523.0,230623.0,258572.0,281427.0,304443.0,313106.0,313106.0,300112.0
여주군,69563,,,,,,,,
연천군,477341,477341.0,477341.0,521352.0,522801.0,620837.0,621607.0,623066.0,239899.0
가평군,251791,255173.0,239514.0,180693.0,156327.0,156274.0,156538.0,156538.0,153170.0
양평군,19885,21206.0,28957.0,137273.0,137273.0,137273.0,137273.0,125605.0,129903.0
강원도,7413940,7565619.0,8050530.0,7865036.0,7936854.0,7888639.0,7574501.0,6669222.0,6081286.0
춘천시,495763,495763.0,681371.0,731361.0,755144.0,755144.0,755144.0,755144.0,641566.0
원주시,3526204,3505055.0,3562391.0,3591168.0,3546775.0,3563303.0,3560698.0,2589873.0,2572426.0
강릉시,772470,897674.0,897643.0,631663.0,631663.0,631663.0,628073.0,628073.0,585475.0
동해시,929359,956060.0,956036.0,956036.0,980029.0,980214.0,675067.0,675067.0,613011.0
태백시,222460,222460.0,222460.0,222460.0,222460.0,222460.0,222460.0,222460.0,222460.0
속초시,262534,278526.0,277795.0,282573.0,282144.0,281883.0,281883.0,281883.0,97161.0
삼척시,315225,316030.0,306614.0,306614.0,306614.0,306614.0,296131.0,289975.0,204058.0
홍천군,170040,170040.0,170040.0,171202.0,208722.0,207693.0,216801.0,201957.0,202360.0
횡성군,52587,52587.0,292777.0,292777.0,292777.0,282072.0,282072.0,247641.0,232404.0
영월군,32744,26479.0,26479.0,26479.0,28512.0,28512.0,30833.0,138396.0,137416.0
평창군,233507,233507.0,245486.0,241265.0,241265.0,241265.0,241265.0,241265.0,241387.0
정선군,155376,155376.0,155376.0,155376.0,179919.0,201855.0,200642.0,201012.0,123263.0
철원군,62715,73128.0,73128.0,73128.0,77896.0,65491.0,62962.0,62962.0,62962.0
화천군,2720,2720.0,2720.0,2720.0,2720.0,,,,
