지역,2012,2013,2014,2015,2016,2017,2018,2019,2020
전국,12682078857,12682832963.0,12662057538.0,12647111046.0,12625688659.0,12616653497.0,12628463815.0,12631888644.0,12622450518.0
서울특별시,242594040,241649982.0,241895036.0,243747702.0,241323140.0,234399725.0,234848783.0,234822576.0,234367642.0
종로구,11195810,11195810.0,11195810.0,11195810.0,11204665.0,11203867.0,11204665.0,11204665.0,11204384.0
중구,0,0.0,25135.0,25135.0,25135.0,25135.0,25135.0,25135.0,25135.0
용산구,8975262,8975262.0,8975262.0,8975262.0,8975262.0,8530162.0,8975262.0,8975262.0,8975262.0
성동구,4346183,4346183.0,4346330.0,4346330.0,4346330.0,4332406.0,4332406.0,4332406.0,4332406.0
광진구,5480000,5480000.0,5480000.0,5480000.0,5480000.0,5274873.0,5274873.0,5274873.0,5274873.0
동대문구,120000,120000.0,384319.0,384319.0,384319.0,383081.0,383081.0,383081.0,383081.0
중랑구,7781653,7781653.0,7781653.0,7781653.0,7781653.0,7352187.0,7352187.0,7352187.0,7352187.0
성북구,6564308,6564308.0,6564308.0,6564308.0,6564308.0,6432862.0,6432862.0,6432862.0,6432862.0
강북구,14190000,14190000.0,14190000.0,12380402.0,12380402.0,12380402.0,12380402.0,12380402.0,12384780.0
도봉구,8637764,8637764.0,8637764.0,8637764.0,8637764.0,10841445.0,10841445.0,10841445.0,10387632.0
노원구,22230734,22201923.0,22201923.0,22201912.0,22197837.0,21026581.0,21026581.0,21026581.0,21026587.0
은평구,14515359,14516401.0,14516401.0,13910308.0,13910307.0,13898866.0,13902080.0,13902080.0,13902080.0
서대문구,1895556,1895556.0,1895556.0,1895556.0,1895556.0,1963055.0,1963055.0,1963055.0,1963055.0
마포구,11180698,11180698.0,11180698.0,11180698.0,9558447.0,9558447.0,9558937.0,9560036.0,9559911.0
양천구,4350362,4350362.0,4350362.0,3981474.0,3981474.0,4043275.0,4043275.0,4043275.0,4043275.0
강서구,23365488,23365488.0,23365488.0,23284731.0,23284731.0,22500881.0,22500637.0,22500605.0,22500605.0
구로구,5929078,5929078.0,5884531.0,5884531.0,5884531.0,5157862.0,5157562.0,5157562.0,5157562.0
금천구,2820000,2820000.0,2820000.0,2820000.0,2820000.0,2895630.0,2895630.0,2895630.0,2895630.0
영등포구,6768664,6768664.0,6768664.0,8708804.0,8708804.0,8708804.0,8708804.0,8708804.0,8708804.0
동작구,700000,700000.0,700000.0,2252275.0,2252275.0,2252275.0,2252275.0,2252275.0,2252275.0
관악구,17663896,17663896.0,17663896.0,17663896.0,17663896.0,13846047.0,13846047.0,13846047.0,13846047.0
서초구,27512048,27512048.0,27512048.0,27512048.0,26704958.0,26692558.0,26692558.0,26692558.0,26687459.0
강남구,15212471,15212471.0,15212471.0,15212471.0,15212471.0,13631009.0,13631009.0,13631009.0,13631009.0
송파구,10318963,10318963.0,10318963.0,10557941.0,10557941.0,10557941.0,10557941.0,10530667.0,10530667.0
강동구,10839743,9923454.0,9923454.0,10910074.0,10910074.0,10910074.0,10910074.0,10910074.0,10910074.0
부산광역시,560662775,555902452.0,554765334.0,547118411.0,546836972.0,546225644.0,546228649.0,544747568.0,544711620.0
서구,7987855,7987855.0,7987415.0,7987415.0,7987415.0,7987415.0,7987415.0,8012630.0,8012630.0
동구,3089485,3089485.0,3089485.0,3089485.0,3089485.0,3089485.0,3089485.0,3089485.0,3090992.0
영도구,7617473,7616008.0,7608938.0,7608938.0,7608938.0,7608938.0,7608938.0,7608938.0,7603070.0
부산진구,13785134,13785134.0,13755174.0,13755174.0,13755174.0,13755174.0,13755174.0,13755174.0,13755174.0
동래구,5579214,5579330.0,5924310.0,5924310.0,5924310.0,5924310.0,5924310.0,5924310.0,5924309.0
남구,12860928,12860928.0,12861218.0,12861218.0,12861218.0,12861218.0,12861218.0,12861218.0,12861218.0
북구,29277696,29277696.0,29275856.0,29275855.0,29231265.0,29231265.0,29231265.0,29231265.0,29219843.0
해운대구,38196722,38196722.0,38216132.0,38216132.0,38216132.0,38216132.0,38216132.0,38161371.0,38161371.0
사하구,21153489,21153489.0,21130859.0,21130859.0,21130859.0,21130859.0,21130859.0,21325182.0,21325386.0
금정구,53744201,53744201.0,53553831.0,53553831.0,53553831.0,53553831.0,53553831.0,53553831.0,53553831.0
연제구,3602692,3602692.0,3584962.0,3584962.0,3584962.0,3584962.0,3584962.0,3584962.0,3584962.0
