TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_NM_ENG,ITM_ID,UNIT_NM,ORG_ID,UNIT_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,C2_OBJ_NM,C2_OBJ_NM_ENG,DT,PRD_SE,C2,C1,C1_NM,C2_NM,C1_NM_ENG,C2_NM_ENG
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,51849861,A,15315DSH001,15315HJG000,전국,전체인구(A),Total,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,9729107,A,15315DSH001,15315HJG001,서울특별시,전체인구(A),Seoul,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,151290,A,15315DSH001,15315HJG001001,종로구,전체인구(A),Jongno-gu,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,126171,A,15315DSH001,15315HJG001002,중구,전체인구(A),Jung-gu,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,228670,A,15315DSH001,15315HJG001003,용산구,전체인구(A),Yongsan-gu,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,300889,A,15315DSH001,15315HJG001004,성동구,전체인구(A),Seongdong-gu,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,351350,A,15315DSH001,15315HJG001005,광진구,전체인구(A),Gwangjin-gu,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,346194,A,15315DSH001,15315HJG001006,동대문구,전체인구(A),dongdaemun-gu,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,397015,A,15315DSH001,15315HJG001007,중랑구,전체인구(A),Jungrang-gu,Total Population
도시지역 인구현황(시군구),2019,TX_315_2009_H1001,도시지역 인구현황(시군구),Current Status of Urban Area Population,16315T2009_0260,명,460,Person,소재지(시군구)별,By Administrative District,인구현황별,By Population of Urban District,442650,A,15315DSH001,15315HJG001008,성북구,전체인구(A),Seongbuk-gu,Total Population
