지역,2012,2013,2014,2015,2016,2017,2018,2019,2020
전국,50948272,51141463.0,51327916.0,51529338.0,51696216.0,51778544.0,51826059.0,51849861.0,51829023.0
서울특별시,10195318,10143645.0,10103233.0,10022181.0,9930616.0,9857426.0,9765623.0,9729107.0,9668465.0
종로구,165207,160070.0,156993.0,154986.0,152737.0,154770.0,153065.0,151290.0,149384.0
중구,133360,130465.0,128065.0,125733.0,125249.0,125709.0,125725.0,126171.0,125240.0
용산구,243232,239740.0,235951.0,233342.0,230241.0,229161.0,228999.0,228670.0,230040.0
성동구,299604,299337.0,296086.0,297003.0,299259.0,304808.0,308221.0,300889.0,293556.0
광진구,371313,368927.0,363354.0,360369.0,357215.0,357703.0,355559.0,351350.0,346682.0
동대문구,363258,364273.0,363687.0,360153.0,355069.0,350647.0,348052.0,346194.0,342837.0
중랑구,419295,416798.0,418836.0,413909.0,411005.0,408226.0,403209.0,397015.0,394702.0
성북구,481857,476589.0,466706.0,459275.0,450355.0,444055.0,435868.0,442650.0,437153.0
강북구,343157,338707.0,335025.0,330873.0,327195.0,324479.0,319164.0,313954.0,308055.0
도봉구,362270,358582.0,353709.0,351242.0,348220.0,344166.0,339413.0,333362.0,325257.0
노원구,597189,590479.0,582552.0,574583.0,567581.0,554403.0,543752.0,532905.0,523037.0
은평구,501480,503660.0,498644.0,497920.0,491476.0,486794.0,483197.0,480032.0,479835.0
서대문구,315113,314110.0,310376.0,312141.0,314194.0,312800.0,310313.0,309397.0,312173.0
마포구,384644,381856.0,385439.0,387643.0,379892.0,374915.0,375077.0,374035.0,371890.0
양천구,495911,492528.0,486221.0,484532.0,477739.0,471154.0,464185.0,458165.0,454251.0
강서구,567431,569070.0,585160.0,589074.0,595485.0,601691.0,596949.0,591796.0,580185.0
구로구,427520,424964.0,425831.0,422092.0,417551.0,410742.0,404497.0,406664.0,404408.0
금천구,243288,241020.0,238463.0,236284.0,235386.0,235154.0,233917.0,232810.0,231733.0
영등포구,391408,386471.0,382352.0,378504.0,370613.0,368550.0,367778.0,367678.0,379480.0
동작구,405491,410815.0,407470.0,400641.0,400997.0,396217.0,396203.0,395963.0,391220.0
관악구,523029,518028.0,513186.0,509663.0,506851.0,503297.0,501957.0,500094.0,495060.0
서초구,435044,441763.0,449678.0,446764.0,447192.0,441102.0,433951.0,430826.0,425126.0
