지역,2012,2013,2014,2015,2016,2017,2018,2019
전국,4337568.225,4199895.535,4394962.146,4582405,4652411.982,4567026.0,4563156.0,4599617.0
서울특별시,838821.0,794528.0,514465.6,763049,749648.0,732645.0,745654.0,713757.0
부산광역시,259469.0,172664.0,153269.0,155897,151202.0,155142.0,155101.0,156891.0
대구광역시,136477.0,135534.0,135534.0,132119,114857.0,90074.0,89394.0,81294.0
인천광역시,270802.0,270802.0,528056.0,268355,265832.302,287702.0,269884.0,237647.0
광주광역시,85035.0,88301.0,88122.0,86937,71003.0,,,
대전광역시,104147.0,105694.0,101300.0,96790,98146.0,92569.0,88599.0,82359.0
울산광역시,122733.0,122733.0,189552.0,187149,184790.0,177998.0,179823.0,276165.0
서울특별시,13505.78,14514.0,13217.0,12358,12124.4,12602.0,12986.0,12468.0
경기도,1138640.885,1126412.5,1215224.98,1299861,1349194.16,1325004.0,1297414.0,1303190.0
강원도,150333.0,157408.58,159761.75,162556,160249.0,153847.0,147062.0,162649.0
충청북도,136353.1,154858.07,149270.3,182299,216084.9,216200.0,213730.0,219889.0
충청남도,194864.75,202038.13,206572.07,244524,325939.0,323025.0,319475.0,317772.0
전라북도,149453.0,158420.0,148722.88,146731,142662.0,145575.0,166028.0,141304.0
전라남도,106922.0,94478.56,118933.91,119037,118575.23,119192.0,120839.0,129952.0
경상북도,171634.0,175672.765,207659.126,229955,240668.59,240356.0,251101.0,230654.0
경상남도,388303.71,362827.9,396982.2,425024,431306.2,429153.0,439041.0,443735.0
제주특별자치도,70074.0,63009.03,68319.33,69765,20130.2,65942.0,67025.0,89891.0
