지역,2012,2013,2014,2015,2016,2017,2018,2019
서울특별시,22.2,21.7,20.6,19.4,19.5,18.8,18.6,16.7
강남구,19.8,21.7,17.0,18.2,16.0,16.1,18.0,14.6
강동구,23.1,23.0,18.5,19.5,18.3,17.4,15.6,18.5
강북구,26.1,23.4,25.6,22.0,20.8,22.9,23.5,19.8
강서구,21.2,21.6,21.5,20.1,18.9,20.7,18.9,17.1
관악구,24.4,22.9,20.1,23.7,22.2,20.3,22.6,17.4
광진구,23.5,20.4,18.1,18.5,19.4,18.0,21.2,21.0
구로구,23.0,19.7,21.1,18.8,22.1,17.2,17.9,15.8
금천구,25.3,24.7,23.7,22.8,24.3,20.1,22.9,19.0
노원구,18.9,20.8,18.9,18.4,18.7,17.2,17.6,18.8
도봉구,25.0,21.3,21.8,16.3,21.5,21.2,19.5,15.7
동대문구,24.3,23.1,21.5,18.8,20.9,22.4,17.8,17.5
동작구,20.9,20.8,19.7,17.6,18.3,16.8,17.3,15.5
마포구,22.1,21.7,21.4,21.3,18.9,16.5,16.8,16.5
서대문구,24.2,22.5,20.5,21.1,18.7,20.7,18.9,17.1
서초구,17.8,18.7,14.7,16.5,17.6,14.5,15.0,12.3
성동구,22.5,22.0,24.4,18.8,20.5,19.2,19.5,19.2
성북구,24.1,24.3,23.2,20.2,22.1,18.5,19.2,17.6
송파구,21.6,18.8,19.9,16.6,16.9,17.2,14.9,14.5
양천구,21.2,21.0,18.2,17.0,17.9,19.2,16.1,15.6
영등포구,18.4,21.5,22.9,19.3,17.1,16.3,15.7,16.2
용산구,23.0,21.0,21.3,21.5,19.5,19.7,17.7,11.3
은평구,22.3,22.3,20.6,19.4,20.7,20.8,21.5,15.1
종로구,22.7,21.5,22.5,21.2,20.4,16.5,18.6,17.9
중구,26.2,24.1,22.0,23.5,22.2,19.1,23.0,17.5
중랑구,21.7,23.6,23.8,21.7,22.0,23.0,21.5,20.1
부산광역시,23.5,23.1,22.3,20.6,20.5,20.4,19.6,17.7
금정구,25.2,21.5,21.9,18.0,19.0,17.1,20.0,18.2
기장군,25.8,26.6,26.9,22.0,21.4,19.9,20.0,17.4
남구,21.4,23.7,23.4,19.5,19.0,21.5,20.0,15.9
동구,26.5,26.9,26.2,22.2,23.7,20.6,19.9,16.8
동래구,21.6,21.3,22.1,17.8,21.6,18.9,17.1,14.7
부산진구,24.3,24.1,25.2,19.6,20.6,21.8,20.0,18.5
북구,25.3,22.5,20.5,21.2,19.0,20.7,16.3,17.6
사상구,27.7,23.4,24.5,22.8,22.5,20.4,22.1,18.6
사하구,24.3,22.9,19.1,22.8,23.3,21.5,20.2,18.6
서구,24.5,24.1,24.1,21.7,19.7,18.8,20.0,18.6
수영구,22.1,22.2,18.4,15.2,21.1,20.0,19.7,17.9
연제구,18.7,20.2,19.3,19.5,18.4,18.5,16.2,15.5
영도구,25.8,24.8,24.7,20.7,20.6,26.2,22.5,21.1
해운대구,19.4,22.4,21.1,22.9,19.1,18.8,19.8,17.3
대구광역시,24.5,23.7,22.9,20.4,19.6,19.6,20.5,18.5
달서구,24.7,24.0,23.8,20.6,19.3,20.2,21.3,19.6
달성군,26.8,23.4,23.1,23.0,19.7,21.6,20.1,22.0
수성구,20.5,21.5,20.6,15.3,15.2,15.8,17.4,14.4
인천광역시,25.8,24.3,25.4,23.8,24.1,22.2,22.3,19.9
강화군,21.4,23.7,23.1,21.0,19.5,16.9,19.1,18.3
계양구,26.0,22.9,24.2,24.8,26.7,22.9,23.6,19.8
미추홀구,28.5,26.9,28.9,27.5,28.4,26.3,26.5,26.1
남동구,25.5,24.2,24.3,25.5,22.9,25.7,21.2,19.1
부평구,23.1,24.2,25.5,21.4,22.2,19.8,21.8,21.0
연수구,24.7,21.0,20.4,21.8,21.6,17.0,18.6,17.7
옹진군,25.3,25.0,25.1,25.6,26.5,27.7,22.3,26.0
광주광역시,23.0,21.9,22.2,18.6,18.8,20.1,19.9,18.6
광산구,25.6,25.3,24.9,19.8,19.8,22.4,22.5,21.5
대전광역시,23.4,23.3,21.7,20.6,20.3,20.0,21.7,18.2
대덕구,24.6,23.0,21.5,20.8,23.7,22.7,23.3,21.8
유성구,19.3,21.5,17.6,18.9,16.2,16.4,16.8,15.9
울산광역시,24.0,23.7,23.0,21.4,22.3,20.9,20.1,19.1
울주군,24.3,21.9,22.2,23.0,21.9,21.8,18.9,20.4
세종특별자치시,26.5,22.4,22.5,17.8,17.9,18.3,18.0,15.7
세종시,26.5,22.4,22.5,17.8,17.9,18.3,18.0,15.7
경기도,24.6,24.3,23.4,21.8,21.8,20.7,20.5,19.5
가평군,28.0,24.8,23.6,22.5,21.6,21.6,18.5,19.7
고양시,22.2,23.6,22.0,21.7,20.6,19.7,18.6,18.8
과천시,15.5,15.1,13.9,10.8,14.6,13.5,14.6,11.2
구리시,23.7,23.8,24.0,19.0,20.0,17.5,18.2,16.9
김포시,28.4,25.3,23.8,21.9,20.9,19.9,19.1,16.3
남양주시,26.6,26.7,20.6,22.8,23.1,19.3,21.7,19.1
동두천시,28.8,26.8,27.2,26.3,25.2,25.2,22.5,26.4
부천시,25.4,25.2,24.7,21.0,19.5,21.1,21.2,19.3
양주시,26.6,24.2,24.9,23.0,22.6,20.7,23.3,22.3
양평군,22.0,22.9,20.6,18.1,23.4,18.3,17.3,16.5
여주시,21.4,24.4,22.8,20.3,18.8,22.7,20.3,18.2
연천군,27.4,28.2,27.3,22.7,22.7,21.5,25.5,23.1
의정부시,26.1,24.1,22.6,22.0,24.7,21.2,19.3,21.5
이천시,26.0,25.9,25.6,23.1,25.9,22.9,22.6,24.1
파주시,25.3,26.2,24.9,22.7,22.7,21.5,24.5,21.0
포천시,27.4,27.2,32.8,26.5,23.5,25.3,24.3,21.3
하남시,23.2,24.6,22.9,19.3,21.2,17.3,18.3,16.4
광명시,22.9,23.3,21.6,21.2,18.7,20.1,18.1,15.8
광주시,25.0,26.5,27.7,25.2,23.4,21.5,24.1,24.4
군포시,21.8,21.4,23.3,19.4,20.6,18.0,19.6,18.9
성남시,22.5,21.6,22.5,21.4,20.3,18.9,18.5,18.0
수원시,24.0,23.0,21.9,20.4,21.8,20.1,20.9,19.6
시흥시,31.2,31.6,27.4,27.3,26.1,25.0,22.3,24.5
안산시,28.1,26.8,26.0,24.1,25.9,25.2,24.2,24.2
안성시,26.9,26.0,26.3,21.7,21.5,23.0,22.7,19.4
안양시,21.9,22.7,21.3,20.5,20.4,16.7,18.6,16.9
오산시,28.0,31.1,27.8,25.3,24.4,23.0,23.5,21.6
용인시,21.0,22.1,20.1,18.6,18.5,18.9,17.8,15.2
의왕시,21.8,22.5,20.9,19.0,20.0,19.2,19.2,15.6
평택시,26.0,24.0,26.2,23.3,24.3,25.1,22.8,20.6
화성시,25.1,22.8,23.6,23.5,23.6,21.7,20.2,21.6
강원도,24.8,24.1,24.1,22.5,21.4,21.0,22.7,19.2
강릉시,23.2,24.7,22.8,19.4,20.5,18.7,19.7,19.7
고성군,22.9,26.2,24.3,22.9,24.0,18.4,21.4,21.3
동해시,21.3,24.0,22.6,20.5,21.1,21.3,22.0,18.2
삼척시,25.2,24.3,23.4,22.5,21.1,19.1,21.4,22.9
속초시,25.7,24.0,26.0,24.9,22.6,21.4,22.7,19.5
양구군,27.4,26.0,24.8,22.6,21.3,22.3,19.1,20.1
양양군,25.7,21.5,25.4,19.5,21.0,20.3,21.7,17.2
영월군,25.7,25.4,23.9,20.5,22.5,20.2,23.3,20.9
원주시,28.5,24.2,25.6,25.2,20.6,22.9,25.3,20.0
인제군,25.2,23.5,27.2,24.3,24.9,23.9,24.3,24.8
정선군,25.3,26.0,25.5,22.2,26.1,24.9,22.1,20.5
철원군,25.4,22.5,23.5,24.6,23.1,21.0,20.7,19.6
춘천시,21.6,22.3,22.2,21.9,20.0,20.1,24.1,15.3
태백시,29.9,27.5,25.9,24.3,25.7,23.8,20.8,24.5
평창군,23.2,24.0,24.1,21.0,20.3,22.3,23.2,19.4
홍천군,25.3,25.2,25.3,22.1,22.5,19.4,22.5,18.3
화천군,26.0,28.8,23.8,25.5,21.5,24.0,18.0,19.4
횡성군,21.0,20.1,25.0,20.4,23.1,19.7,19.8,20.0
충청북도,25.2,24.6,24.1,21.4,21.3,21.8,22.0,20.8
괴산군,26.0,24.5,24.3,22.6,20.0,18.0,19.3,19.5
단양군,24.8,21.2,24.8,22.0,20.0,20.2,22.8,19.6
보은군,24.6,20.7,21.7,19.9,18.7,20.7,18.9,16.8
영동군,21.6,20.7,20.5,20.9,19.5,18.4,17.9,18.4
옥천군,28.7,23.8,19.5,18.7,20.3,19.5,17.8,20.2
음성군,31.7,29.3,27.6,24.9,24.9,26.6,24.3,22.2
제천시,22.8,26.5,25.0,21.7,21.8,24.4,21.5,18.8
증평군,30.5,27.6,26.8,22.6,24.7,24.0,23.1,23.8
진천군,27.7,27.2,27.3,23.9,24.4,25.2,26.6,23.1
청원군,24.3,24.5,,,,,,
충주시,24.1,22.4,24.9,21.5,22.1,21.0,25.1,23.8
청주시,24.7,24.7,23.6,20.8,20.6,21.3,21.4,20.4
