TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_ID,ORG_ID,UNIT_NM,UNIT_NM_ENG,C1_OBJ_NM,DT,PRD_SE,C1,C1_NM
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,139756652,S,000,합계
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,2734546,S,001,서울특별시
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,20708,S,002,종로구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,125235,S,003,중구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,776097,S,004,성동구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,15447,S,004_1,용산구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,19501,S,005,광진구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,42178,S,006,동대문구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,39106,S,007,중랑구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,27089,S,008,성북구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,21450,S,009,강북구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,50513,S,010,도봉구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,27019,S,011,노원구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,19223,S,012,은평구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,46002,S,013,서대문구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,32951,S,014,마포구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,23474,S,015,양천구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,491052,S,016,강서구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,140326,S,017,구로구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,491878,S,018,금천구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,130945,S,019,영등포구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,11784,S,020,동작구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,8224,S,021,관악구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,21105,S,023,서초구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,38324,S,024,강남구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,81200,S,025,송파구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,33715,S,026,강동구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,12295672,S,027,부산광역시
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,4754,S,028,중구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,270445,S,029,서구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,36065,S,030,동구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,730732,S,031,영도구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,28667,S,032,부산진구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,39869,S,033,동래구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,474082,S,034,남구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,25621,S,035,북구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,1609183,S,036,해운대구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,2477126,S,037,사하구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,457527,S,038,금정구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,1862595,S,039,강서구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,54253,S,040,연제구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,19320,S,041,수영구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,2121754,S,042,사상구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,2083679,S,043,기장군
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,3419843,S,044,대구광역시
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,39320,S,045,중구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,455072,S,046,동구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,178380,S,047,서구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,10076,S,048,남구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,549572,S,049,북구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,40649,S,050,수성구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,110597,S,051,달서구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,2036177,S,052,달성군
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,11935923,S,053,인천광역시
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,1605828,S,054,중구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,1902773,S,055,동구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,541490,S,056,미추홀구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,942907,S,057,연수구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,376185,S,058,남동구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,1457142,S,059,부평구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,421945,S,060,계양구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,4670318,S,061,서구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,16978,S,062,강화군
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,357,S,063,옹진군
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,4024819,S,064,광주광역시
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,29196,S,065,동구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,1433561,S,066,서구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,151904,S,067,남구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,1012519,S,068,북구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,1397639,S,069,광산구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,1929410,S,070,대전광역시
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,145422,S,071,동구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,70117,S,072,중구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,203965,S,073,서구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,135292,S,074,유성구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,1374614,S,075,대덕구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,4488672,S,076,울산광역시
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,40215,S,077,중구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,150930,S,078,남구
도시지역 개별입지 공장 현황,201702,TX_399020016,면적,B,399,㎡,㎡,지역별,25227,S,079,동구
