지역,2016,2017,2018,2019,2020,2021
전국,139558492,144026287,167985863,140526216,140533141,142048487
서울특별시,2825541,2726969,2708833,2661488,2763593,2867387
종로구,18868,20269,21843,20471,22899,24066
중구,123185,124333,124075,128286,128993,134485
성동구,804281,792275,759163,744024,857734,1008605
용산구,17184,17237,14207,13333,12531,12552
광진구,17416,18434,18936,19669,16573,16987
동대문구,39010,39003,44751,50798,56001,47698
중랑구,40935,39441,37254,37085,37301,36862
성북구,26595,27632,27572,22378,18934,17003
강북구,17918,21347,20455,17396,16367,16330
도봉구,51245,50849,49750,54144,56114,38725
노원구,30275,30493,26751,27322,24706,26268
은평구,16578,18668,19184,19723,24189,22810
서대문구,46693,46034,41283,40234,40083,42514
마포구,35731,33190,30995,31357,31100,29274
양천구,27938,25427,24021,23782,26183,27153
강서구,498080,492578,491167,490343,489494,491082
구로구,179357,140205,138648,137981,128473,120645
금천구,503201,453570,490891,445494,440342,423101
영등포구,145715,146024,134970,145171,141988,147767
동작구,11972,11126,10653,10568,10885,10637
관악구,9168,8127,9025,6343,5724,5604
서초구,18090,21707,21398,20608,20963,21424
강남구,38136,37186,38549,37018,40557,40883
송파구,72402,76730,83716,89834,88825,85848
강동구,35568,35084,29577,28127,26633,19065
부산광역시,12468213,12356573,11714666,11416341,11450739,11378747
서구,271958,268780,271203,282893,241405,238719
동구,36003,36379,36307,36718,37008,36876
영도구,806544,725669,731847,639794,633637,628019
부산진구,33043,29547,28077,27756,26636,26726
동래구,39905,40265,40602,40194,55539,55944
남구,488482,474638,474371,481497,488066,496338
북구,26122,23120,26434,24945,24659,25477
해운대구,1604561,1607382,1568369,1558599,1557094,1557543
사하구,2466808,2456417,2322457,2156325,2183626,2148220
금정구,483507,475864,447851,414581,436880,427251
연제구,65019,59343,54252,52003,52950,53647
수영구,21358,18108,19531,19147,15840,14958
사상구,2321697,2213747,1869315,1800616,1754886,1714009
기장군,1997603,2082025,1961973,1984492,2012634,2028650
대구광역시,3463420,8117663,3446658,3454883,3332804,3347515
수성구,41999,40727,41428,40710,42131,41310
달서구,106221,109407,112169,129748,92566,113904
달성군,2008376,2033617,2043269,2080083,2086034,2083813
인천광역시,12069273,12016894,11868498,11880716,11929636,11819374
미추홀구,514189,537990,436320,201920,199610,328151
연수구,731156,917783,969525,948091,1006486,1026928
남동구,379149,372288,376719,390421,384724,381296
부평구,1417233,1434580,1436796,1558983,1512184,1397790
계양구,446706,429087,442821,464241,432804,351780
강화군,17227,17058,16978,16978,18370,18370
옹진군,357,357,357,357,357,357
광주광역시,3836487,3979490,4044392,4094621,3937373,3987089
광산구,1304812,1369798,1404829,1416083,1335106,1369387
대전광역시,2183694,1916314,1856703,1872856,2024462,2150077
유성구,173471,134537,139687,151933,150345,219481
대덕구,1619527,1368649,1378266,1371983,1376050,1401230
