TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_ID,UNIT_NM,ORG_ID,UNIT_NM_ENG,C1_OBJ_NM,C2_OBJ_NM,DT,C2,PRD_SE,C1,C1_NM,C2_NM
지방자치단체 폐기물 처리시설 현황_매립시설,2017,DT_106N_99_3300027,지방자치단체 폐기물 처리시설 현황_매립시설,13103128649I119,m³,106,m³,시도,항목별,7477102,13102128649T13103ME_022917H.0606,A,13102128649A.15106ME_022917.0501,합 계,매립량
지방자치단체 폐기물 처리시설 현황_매립시설,2017,DT_106N_99_3300027,지방자치단체 폐기물 처리시설 현황_매립시설,13103128649I119,톤,106,tonnage,시도,항목별,6681138,13102128649T13103ME_022917H.060601,A,13102128649A.15106ME_022917.0501,합 계,매립량
지방자치단체 폐기물 처리시설 현황_매립시설,2017,DT_106N_99_3300027,지방자치단체 폐기물 처리시설 현황_매립시설,13103128649I119,m³,106,m³,시도,항목별,291432,13102128649T13103ME_022917H.0606,A,13102128649A.15106ME_022917.0503,부산,매립량
지방자치단체 폐기물 처리시설 현황_매립시설,2017,DT_106N_99_3300027,지방자치단체 폐기물 처리시설 현황_매립시설,13103128649I119,톤,106,tonnage,시도,항목별,303561,13102128649T13103ME_022917H.060601,A,13102128649A.15106ME_022917.0503,부산,매립량
지방자치단체 폐기물 처리시설 현황_매립시설,2017,DT_106N_99_3300027,지방자치단체 폐기물 처리시설 현황_매립시설,13103128649I119,m³,106,m³,시도,항목별,300849,13102128649T13103ME_022917H.0606,A,13102128649A.15106ME_022917.0504,대구,매립량
지방자치단체 폐기물 처리시설 현황_매립시설,2017,DT_106N_99_3300027,지방자치단체 폐기물 처리시설 현황_매립시설,13103128649I119,톤,106,tonnage,시도,항목별,282104,13102128649T13103ME_022917H.060601,A,13102128649A.15106ME_022917.0504,대구,매립량
지방자치단체 폐기물 처리시설 현황_매립시설,2017,DT_106N_99_3300027,지방자치단체 폐기물 처리시설 현황_매립시설,13103128649I119,m³,106,m³,시도,항목별,3400695,13102128649T13103ME_022917H.0606,A,13102128649A.15106ME_022917.0505,인천,매립량
지방자치단체 폐기물 처리시설 현황_매립시설,2017,DT_106N_99_3300027,지방자치단체 폐기물 처리시설 현황_매립시설,13103128649I119,톤,106,tonnage,시도,항목별,3274656,13102128649T13103ME_022917H.060601,A,13102128649A.15106ME_022917.0505,인천,매립량
지방자치단체 폐기물 처리시설 현황_매립시설,2017,DT_106N_99_3300027,지방자치단체 폐기물 처리시설 현황_매립시설,13103128649I119,m³,106,m³,시도,항목별,169010,13102128649T13103ME_022917H.0606,A,13102128649A.15106ME_022917.0506,광주,매립량
지방자치단체 폐기물 처리시설 현황_매립시설,2017,DT_106N_99_3300027,지방자치단체 폐기물 처리시설 현황_매립시설,13103128649I119,톤,106,tonnage,시도,항목별,118307,13102128649T13103ME_022917H.060601,A,13102128649A.15106ME_022917.0506,광주,매립량
지방자치단체 폐기물 처리시설 현황_매립시설,2017,DT_106N_99_3300027,지방자치단체 폐기물 처리시설 현황_매립시설,13103128649I119,m³,106,m³,시도,항목별,305002,13102128649T13103ME_022917H.0606,A,13102128649A.15106ME_022917.0507,대전,매립량
지방자치단체 폐기물 처리시설 현황_매립시설,2017,DT_106N_99_3300027,지방자치단체 폐기물 처리시설 현황_매립시설,13103128649I119,톤,106,tonnage,시도,항목별,333379,13102128649T13103ME_022917H.060601,A,13102128649A.15106ME_022917.0507,대전,매립량
지방자치단체 폐기물 처리시설 현황_매립시설,2017,DT_106N_99_3300027,지방자치단체 폐기물 처리시설 현황_매립시설,13103128649I119,m³,106,m³,시도,항목별,197144,13102128649T13103ME_022917H.0606,A,13102128649A.15106ME_022917.0508,울산,매립량
지방자치단체 폐기물 처리시설 현황_매립시설,2017,DT_106N_99_3300027,지방자치단체 폐기물 처리시설 현황_매립시설,13103128649I119,톤,106,tonnage,시도,항목별,117189,13102128649T13103ME_022917H.060601,A,13102128649A.15106ME_022917.0508,울산,매립량
지방자치단체 폐기물 처리시설 현황_매립시설,2017,DT_106N_99_3300027,지방자치단체 폐기물 처리시설 현황_매립시설,13103128649I119,m³,106,m³,시도,항목별,15754,13102128649T13103ME_022917H.0606,A,13102128649A.15106ME_022917.050801,세종,매립량
지방자치단체 폐기물 처리시설 현황_매립시설,2017,DT_106N_99_3300027,지방자치단체 폐기물 처리시설 현황_매립시설,13103128649I119,톤,106,tonnage,시도,항목별,9606,13102128649T13103ME_022917H.060601,A,13102128649A.15106ME_022917.050801,세종,매립량
지방자치단체 폐기물 처리시설 현황_매립시설,2017,DT_106N_99_3300027,지방자치단체 폐기물 처리시설 현황_매립시설,13103128649I119,m³,106,m³,시도,항목별,129931,13102128649T13103ME_022917H.0606,A,13102128649A.15106ME_022917.0509,경기,매립량
지방자치단체 폐기물 처리시설 현황_매립시설,2017,DT_106N_99_3300027,지방자치단체 폐기물 처리시설 현황_매립시설,13103128649I119,톤,106,tonnage,시도,항목별,113435,13102128649T13103ME_022917H.060601,A,13102128649A.15106ME_022917.0509,경기,매립량
지방자치단체 폐기물 처리시설 현황_매립시설,2017,DT_106N_99_3300027,지방자치단체 폐기물 처리시설 현황_매립시설,13103128649I119,m³,106,m³,시도,항목별,604962,13102128649T13103ME_022917H.0606,A,13102128649A.15106ME_022917.0510,강원,매립량
지방자치단체 폐기물 처리시설 현황_매립시설,2017,DT_106N_99_3300027,지방자치단체 폐기물 처리시설 현황_매립시설,13103128649I119,톤,106,tonnage,시도,항목별,452316,13102128649T13103ME_022917H.060601,A,13102128649A.15106ME_022917.0510,강원,매립량
지방자치단체 폐기물 처리시설 현황_매립시설,2017,DT_106N_99_3300027,지방자치단체 폐기물 처리시설 현황_매립시설,13103128649I119,m³,106,m³,시도,항목별,142915,13102128649T13103ME_022917H.0606,A,13102128649A.15106ME_022917.0511,충북,매립량
지방자치단체 폐기물 처리시설 현황_매립시설,2017,DT_106N_99_3300027,지방자치단체 폐기물 처리시설 현황_매립시설,13103128649I119,톤,106,tonnage,시도,항목별,142272,13102128649T13103ME_022917H.060601,A,13102128649A.15106ME_022917.0511,충북,매립량
지방자치단체 폐기물 처리시설 현황_매립시설,2017,DT_106N_99_3300027,지방자치단체 폐기물 처리시설 현황_매립시설,13103128649I119,m³,106,m³,시도,항목별,125104,13102128649T13103ME_022917H.0606,A,13102128649A.15106ME_022917.0512,충남,매립량
