지역,2012,2013,2014,2015,2016,2017,2018,2019
전국,7015497.7,7098677.4799,6903887.92,7235156.0,7817031.47961538,7477102,7643736,7597681
부산광역시,519345.0,508543.0,303636.0,309602.0,309617.0,291432,290483,311961
대구광역시,327629.0,256476.0,304526.0,648903.0,436789.0,300849,324168,355950
인천광역시,3155389.0,3340322.0,3175596.0,3273304.0,3446589.0,3400695,3551310,3565970
광주광역시,187897.0,122024.0,172488.0,198265.0,233278.0,169010,332132,581520
대전광역시,246312.0,281440.0,281436.0,255399.0,671467.0,305002,246329,254150
울산광역시,125667.0,103639.0,69295.0,73871.0,177772.0,197144,226288,154272
서울특별시,5327.0,4980.0,5546.0,5414.0,5575.0,15754,10931,5118
경기도,145193.0,109598.0,132148.0,115921.0,111544.77,129931,160831,100799
강원도,364470.0,421495.0,355559.3,380173.0,450573.8,604962,465457,358587
충청북도,132350.13,150309.35,145792.92,135955.67,128864.14,142915,191081,186200
충청남도,224639.0,247626.0,222246.9,151583.61,101555.625,125104,186877,123126
전라북도,303629.0,311116.0,231687.0,271968.8,263218.9,254429,249314,212112
전라남도,394984.0,327997.09,459852.2,408427.4,444374.374615385,414824,411731,401217
경상북도,388693.72,336931.0,388021.0,420379.0,399706.59,409459,437189,353382
경상남도,377091.62,469728.0399,444983.0,427046.73,467671.28,478980,398357,586586
제주특별자치도,116881.23,106453.0,211074.6,158943.0,168435.0,236612,161258,46731
