지역,2012,2013,2014,2015,2016,2017,2018,2019
서울특별시,116134,95479,89908.81969,89908.81969,69821.4454479993,62300.35,69319.0,62810.0
종로구,1583,618,627.015,627.015,735.768,746.52,738.0,907.0
중구,1273,1270,1266.123,1266.123,1394.915,1981.3,1412.0,1414.0
용산구,901,785,783.6512,783.6512,805.449158,1424.93,556.0,569.0
성동구,8504,7637,5880.28246,5880.28246,5636.32956,6038.85,6335.0,6082.0
광진구,8596,8592,8578.5726,8578.5726,9897.0386,5524.32,2649.0,2860.0
동대문구,1373,1250,1261.288,1261.288,1327.384,1092.73,1148.0,568.0
중랑구,275,717,927.785,927.785,533.665,522.34,488.0,540.0
성북구,2875,1221,1294.82,1294.82,1270.94,896.44,496.0,924.0
강북구,683,683,686.56,686.56,287.62,301.9,61.0,61.0
도봉구,720,706,667.96,667.96,344.96,262.65,255.0,897.0
노원구,1238,848,875.68,875.68,1346.07,1115.16,744.0,672.0
은평구,0,335,322.4603,322.4603,285.4683,297.46,293.0,385.0
서대문구,468,662,661.03,661.03,1072.17,1026.78,974.0,544.0
마포구,1389,1463,1813.27,1813.27,651.248,804.88,570.0,599.0
양천구,1191,1310,2602.8727,2602.8727,7118.8727,3236.63,3653.0,766.0
강서구,2384,1804,1885.76,1885.76,2512.97,3100.78,14667.0,3421.0
구로구,1237,1263,1497.548,1497.548,3017.398,2913.97,2185.0,2157.0
금천구,1857,1896,1831.81624,1831.81624,2294.6456,1536.56,1233.0,1513.0
영등포구,22226,6859,5469.499,5469.499,9721.4349,8634.71,8910.0,10087.0
동작구,1944,2117,1475.56,1475.56,2579.05,2638.23,1458.0,1941.0
관악구,2786,2903,1856.49,1856.49,1545.45,1567.81,2903.0,3305.0
서초구,2730,2689,3643.219,3643.219,3377.7,2641.8,2164.0,2414.0
강남구,3596,4143,3490.92479,3490.92479,1670.13563,3030.76,2575.0,5316.0
송파구,2904,3988,3244.2064,3244.2064,2939.54,3471.52,1367.0,2331.0
강동구,43402,39722,37264.426,37264.426,7455.223,7491.32,11487.0,12538.0
부산광역시,291182,253905,146344.074503937,146344.074503937,126533.4355,159479.12,119029.0,108841.0
서구,3353,3244,3886.9167,3886.9167,4355.18,4388.91,2628.0,2681.0
동구,169,149,149.301,149.301,131.7,142.64,143.0,126.0
영도구,314,170,176.3,176.3,464.773,462.79,580.0,305.0
부산진구,488,431,424.07,424.07,2067.5185,1464.62,1693.0,387.0
동래구,3571,2788,2300.23,2300.23,3217.32,5082.17,1857.0,2251.0
남구,9210,8805,34420.702,34420.702,8005.322,19231.46,9690.0,8848.0
북구,2142,2307,2920.66,2920.66,4621.526,8407.0,1143.0,1749.0
해운대구,3830,4189,3577.0605,3577.0605,1277.9,1902.36,792.0,1021.0
사하구,195315,176006,39177.7812,39177.7812,49351.8670999999,58342.35,40163.0,36952.0
금정구,2724,2682,2639.468,2639.468,3944.2,3275.89,1891.0,2401.0
연제구,137,171,171.426,171.426,191.254,192.73,221.0,767.0
수영구,115,272,120.16,120.16,113.946,110.62,142.0,44.0
사상구,3271,4204,4287.2515,4287.2515,4866.0189,4988.37,5853.0,4228.0
기장군,6281,6448,7578.554603937,7578.554603937,7748.864,8497.99,5467.0,7201.0
대구광역시,191307,190244,219892.5762,219892.5762,198060.340986301,193889.64,175753.0,184281.0
수성구,5333,3768,1830.543,1830.543,2979.837,3633.4,1530.0,1826.0
달서구,20300,21526,23224.68,23224.68,25601.1997863014,17779.63,16476.0,18110.0
달성군,47185,46420,74487.989,74487.989,46315.7282,54086.22,49247.0,54145.0
인천광역시,315889,329309,339471.087940479,339471.087940479,134521.173896667,126296.46,99452.0,96110.0
미추홀구,10034,13355,9400.6927,9400.6927,7614.585,3772.28,2604.0,2847.0
연수구,1947,1887,3615.8725,3615.8725,8807.6085,5223.55,3745.0,5669.0
남동구,14017,13322,24622.9699054795,24622.9699054795,21139.4430666666,12401.52,11432.0,11333.0
부평구,11430,11010,11105.9159,11105.9159,9808.2542,11108.28,11044.0,11127.0
계양구,3765,3739,3831.79,3831.79,3756.28,3881.27,520.0,2488.0
강화군,623,742,720.76,720.76,745.96,1040.07,848.0,636.0
옹진군,2931,4181,4171.75,4171.75,4171.75,2904.05,326.0,5.0
